NTASData [id=16594104082, subwayLine=BD, stationId=YNG2, trainId=220, trainMessage=Arriving, trainDirection=West, timeInt=8.854499472445822, timeString=08.85, trainDestination=KIP2, createDate=Sun Sep 17 11:31:43 EDT 2017, systemMessageType=Normal]
NTASData [id=16594104083, subwayLine=BD, stationId=BAU2, trainId=218, trainMessage=Arriving, trainDirection=West, timeInt=2.147851764705883, timeString=02.15, trainDestination=KIP2, createDate=Sun Sep 17 11:31:43 EDT 2017, systemMessageType=Normal]
NTASData [id=16594104084, subwayLine=BD, stationId=BAU2, trainId=219, trainMessage=Arriving, trainDirection=West, timeInt=5.297534890402478, timeString=05.30, trainDestination=KIP2, createDate=Sun Sep 17 11:31:43 EDT 2017, systemMessageType=Normal]
NTASData [id=16594104085, subwayLine=BD, stationId=BAU2, trainId=220, trainMessage=Arriving, trainDirection=West, timeInt=9.644975509597524, timeString=09.64, trainDestination=KIP2, createDate=Sun Sep 17 11:31:43 EDT 2017, systemMessageType=Normal]
NTASData [id=16594104086, subwayLine=BD, stationId=SGL2, trainId=218, trainMessage=Arriving, trainDirection=West, timeInt=3.275919752321982, timeString=03.28, trainDestination=KIP2, createDate=Sun Sep 17 11:31:43 EDT 2017, systemMessageType=Normal]
NTASData [id=16594104087, subwayLine=BD, stationId=SGL2, trainId=219, trainMessage=Arriving, trainDirection=West, timeInt=6.4256028780185765, timeString=06.43, trainDestination=KIP2, createDate=Sun Sep 17 11:31:43 EDT 2017, systemMessageType=Normal]
NTASData [id=16594104088, subwayLine=BD, stationId=SGL2, trainId=220, trainMessage=Arriving, trainDirection=West, timeInt=10.773043497213623, timeString=10.77, trainDestination=KIP2, createDate=Sun Sep 17 11:31:43 EDT 2017, systemMessageType=Normal]
NTASData [id=16594104089, subwayLine=BD, stationId=BSP2, trainId=218, trainMessage=Arriving, trainDirection=West, timeInt=4.081682972136224, timeString=04.08, trainDestination=KIP2, createDate=Sun Sep 17 11:31:43 EDT 2017, systemMessageType=Normal]
NTASData [id=16594104090, subwayLine=BD, stationId=BSP2, trainId=219, trainMessage=Arriving, trainDirection=West, timeInt=7.231366097832819, timeString=07.23, trainDestination=KIP2, createDate=Sun Sep 17 11:31:43 EDT 2017, systemMessageType=Normal]
NTASData [id=16594104091, subwayLine=BD, stationId=BSP2, trainId=220, trainMessage=Arriving, trainDirection=West, timeInt=11.578806717027865, timeString=11.58, trainDestination=KIP2, createDate=Sun Sep 17 11:31:43 EDT 2017, systemMessageType=Normal]
NTASData [id=16594104092, subwayLine=BD, stationId=BAT2, trainId=217, trainMessage=AtStation, trainDirection=West, timeInt=0.0, timeString=00.00, trainDestination=KIP2, createDate=Sun Sep 17 11:31:43 EDT 2017, systemMessageType=Normal]
NTASData [id=16594104093, subwayLine=BD, stationId=BAT2, trainId=218, trainMessage=Arriving, trainDirection=West, timeInt=5.012716160990713, timeString=05.01, trainDestination=KIP2, createDate=Sun Sep 17 11:31:43 EDT 2017, systemMessageType=Normal]
NTASData [id=16594104094, subwayLine=BD, stationId=BAT2, trainId=219, trainMessage=Arriving, trainDirection=West, timeInt=8.162399286687307, timeString=08.16, trainDestination=KIP2, createDate=Sun Sep 17 11:31:43 EDT 2017, systemMessageType=Normal]
NTASData [id=16594104095, subwayLine=BD, stationId=CHR2, trainId=217, trainMessage=Arriving, trainDirection=West, timeInt=0.9684018575851394, timeString=00.97, trainDestination=KIP2, createDate=Sun Sep 17 11:31:43 EDT 2017, systemMessageType=Normal]
NTASData [id=16594104096, subwayLine=BD, stationId=CHR2, trainId=218, trainMessage=Arriving, trainDirection=West, timeInt=5.981118018575852, timeString=05.98, trainDestination=KIP2, createDate=Sun Sep 17 11:31:43 EDT 2017, systemMessageType=Normal]
NTASData [id=16594104097, subwayLine=BD, stationId=CHR2, trainId=219, trainMessage=Arriving, trainDirection=West, timeInt=9.130801144272446, timeString=09.13, trainDestination=KIP2, createDate=Sun Sep 17 11:31:43 EDT 2017, systemMessageType=Normal]
NTASData [id=16594104098, subwayLine=BD, stationId=OSS2, trainId=217, trainMessage=Arriving, trainDirection=West, timeInt=2.28704439380805, timeString=02.29, trainDestination=KIP2, createDate=Sun Sep 17 11:31:43 EDT 2017, systemMessageType=Normal]
NTASData [id=16594104099, subwayLine=BD, stationId=OSS2, trainId=218, trainMessage=Arriving, trainDirection=West, timeInt=7.2997605547987625, timeString=07.30, trainDestination=KIP2, createDate=Sun Sep 17 11:31:43 EDT 2017, systemMessageType=Normal]
NTASData [id=16594104100, subwayLine=BD, stationId=OSS2, trainId=219, trainMessage=Arriving, trainDirection=West, timeInt=10.449443680495358, timeString=10.45, trainDestination=KIP2, createDate=Sun Sep 17 11:31:43 EDT 2017, systemMessageType=Normal]
NTASData [id=16594104101, subwayLine=BD, stationId=DUF2, trainId=216, trainMessage=Arriving, trainDirection=West, timeInt=0.9081718885448918, timeString=00.91, trainDestination=KIP2, createDate=Sun Sep 17 11:31:43 EDT 2017, systemMessageType=Normal]
NTASData [id=16594104102, subwayLine=BD, stationId=DUF2, trainId=217, trainMessage=Arriving, trainDirection=West, timeInt=3.583271390712075, timeString=03.58, trainDestination=KIP2, createDate=Sun Sep 17 11:31:43 EDT 2017, systemMessageType=Normal]
NTASData [id=16594104103, subwayLine=BD, stationId=DUF2, trainId=218, trainMessage=Arriving, trainDirection=West, timeInt=8.595987551702786, timeString=08.60, trainDestination=KIP2, createDate=Sun Sep 17 11:31:43 EDT 2017, systemMessageType=Normal]
NTASData [id=16594104104, subwayLine=BD, stationId=LAN2, trainId=216, trainMessage=Arriving, trainDirection=West, timeInt=1.7338933746130034, timeString=01.73, trainDestination=KIP2, createDate=Sun Sep 17 11:31:43 EDT 2017, systemMessageType=Normal]
NTASData [id=16594104105, subwayLine=BD, stationId=LAN2, trainId=217, trainMessage=Arriving, trainDirection=West, timeInt=4.408992876780186, timeString=04.41, trainDestination=KIP2, createDate=Sun Sep 17 11:31:43 EDT 2017, systemMessageType=Normal]
NTASData [id=16594104106, subwayLine=BD, stationId=LAN2, trainId=218, trainMessage=Arriving, trainDirection=West, timeInt=9.4217090377709, timeString=09.42, trainDestination=KIP2, createDate=Sun Sep 17 11:31:43 EDT 2017, systemMessageType=Normal]
NTASData [id=16594104107, subwayLine=BD, stationId=DNW2, trainId=216, trainMessage=Arriving, trainDirection=West, timeInt=3.117313931888545, timeString=03.12, trainDestination=KIP2, createDate=Sun Sep 17 11:31:43 EDT 2017, systemMessageType=Normal]
NTASData [id=16594104108, subwayLine=BD, stationId=DNW2, trainId=217, trainMessage=Arriving, trainDirection=West, timeInt=5.792413434055728, timeString=05.79, trainDestination=KIP2, createDate=Sun Sep 17 11:31:43 EDT 2017, systemMessageType=Normal]
NTASData [id=16594104109, subwayLine=BD, stationId=DNW2, trainId=218, trainMessage=Arriving, trainDirection=West, timeInt=10.80512959504644, timeString=10.81, trainDestination=KIP2, createDate=Sun Sep 17 11:31:43 EDT 2017, systemMessageType=Normal]
NTASData [id=16594104110, subwayLine=BD, stationId=KEL2, trainId=216, trainMessage=Arriving, trainDirection=West, timeInt=4.25316705882353, timeString=04.25, trainDestination=KIP2, createDate=Sun Sep 17 11:31:43 EDT 2017, systemMessageType=Normal]
NTASData [id=16594104111, subwayLine=BD, stationId=KEL2, trainId=217, trainMessage=Arriving, trainDirection=West, timeInt=6.928266560990712, timeString=06.93, trainDestination=KIP2, createDate=Sun Sep 17 11:31:43 EDT 2017, systemMessageType=Normal]
NTASData [id=16594104112, subwayLine=BD, stationId=KEL2, trainId=218, trainMessage=Arriving, trainDirection=West, timeInt=11.940982721981426, timeString=11.94, trainDestination=KIP2, createDate=Sun Sep 17 11:31:43 EDT 2017, systemMessageType=Normal]
NTASData [id=16594104113, subwayLine=BD, stationId=HPK2, trainId=215, trainMessage=AtStation, trainDirection=West, timeInt=0.0, timeString=00.00, trainDestination=KIP2, createDate=Sun Sep 17 11:31:43 EDT 2017, systemMessageType=Normal]
NTASData [id=16594104114, subwayLine=BD, stationId=HPK2, trainId=216, trainMessage=Arriving, trainDirection=West, timeInt=5.448894984520123, timeString=05.45, trainDestination=KIP2, createDate=Sun Sep 17 11:31:43 EDT 2017, systemMessageType=Normal]
NTASData [id=16594104115, subwayLine=BD, stationId=HPK2, trainId=217, trainMessage=Arriving, trainDirection=West, timeInt=8.123994486687307, timeString=08.12, trainDestination=KIP2, createDate=Sun Sep 17 11:31:43 EDT 2017, systemMessageType=Normal]
NTASData [id=16594104116, subwayLine=BD, stationId=RUN2, trainId=215, trainMessage=Arriving, trainDirection=West, timeInt=1.2203572755417957, timeString=01.22, trainDestination=KIP2, createDate=Sun Sep 17 11:31:43 EDT 2017, systemMessageType=Normal]
NTASData [id=16594104117, subwayLine=BD, stationId=RUN2, trainId=216, trainMessage=Arriving, trainDirection=West, timeInt=6.669252260061919, timeString=06.67, trainDestination=KIP2, createDate=Sun Sep 17 11:31:43 EDT 2017, systemMessageType=Normal]
NTASData [id=16594104118, subwayLine=BD, stationId=RUN2, trainId=217, trainMessage=Arriving, trainDirection=West, timeInt=9.344351762229103, timeString=09.34, trainDestination=KIP2, createDate=Sun Sep 17 11:31:43 EDT 2017, systemMessageType=Normal]
NTASData [id=16594104119, subwayLine=BD, stationId=JNE2, trainId=214, trainMessage=AtStation, trainDirection=West, timeInt=0.0, timeString=00.00, trainDestination=KIP2, createDate=Sun Sep 17 11:31:43 EDT 2017, systemMessageType=Normal]
NTASData [id=16594104120, subwayLine=BD, stationId=JNE2, trainId=215, trainMessage=Arriving, trainDirection=West, timeInt=2.4352224891640866, timeString=02.44, trainDestination=KIP2, createDate=Sun Sep 17 11:31:43 EDT 2017, systemMessageType=Normal]
NTASData [id=16594104121, subwayLine=BD, stationId=JNE2, trainId=216, trainMessage=Arriving, trainDirection=West, timeInt=7.88411747368421, timeString=07.88, trainDestination=KIP2, createDate=Sun Sep 17 11:31:43 EDT 2017, systemMessageType=Normal]
NTASData [id=16594104122, subwayLine=BD, stationId=OML2, trainId=214, trainMessage=Arriving, trainDirection=West, timeInt=1.603669226006192, timeString=01.60, trainDestination=KIP2, createDate=Sun Sep 17 11:31:43 EDT 2017, systemMessageType=Normal]
NTASData [id=16594104123, subwayLine=BD, stationId=OML2, trainId=215, trainMessage=Arriving, trainDirection=West, timeInt=4.038891715170279, timeString=04.04, trainDestination=KIP2, createDate=Sun Sep 17 11:31:43 EDT 2017, systemMessageType=Normal]
NTASData [id=16594104124, subwayLine=BD, stationId=OML2, trainId=216, trainMessage=Arriving, trainDirection=West, timeInt=9.487786699690403, timeString=09.49, trainDestination=KIP2, createDate=Sun Sep 17 11:31:43 EDT 2017, systemMessageType=Normal]
NTASData [id=16594104125, subwayLine=BD, stationId=RYK2, trainId=214, trainMessage=Arriving, trainDirection=West, timeInt=4.020922313312694, timeString=04.02, trainDestination=KIP2, createDate=Sun Sep 17 11:31:43 EDT 2017, systemMessageType=Normal]
NTASData [id=16594104126, subwayLine=BD, stationId=RYK2, trainId=215, trainMessage=Arriving, trainDirection=West, timeInt=6.45614480247678, timeString=06.46, trainDestination=KIP2, createDate=Sun Sep 17 11:31:43 EDT 2017, systemMessageType=Normal]
NTASData [id=16594104127, subwayLine=BD, stationId=RYK2, trainId=216, trainMessage=Arriving, trainDirection=West, timeInt=11.905039786996905, timeString=11.91, trainDestination=KIP2, createDate=Sun Sep 17 11:31:43 EDT 2017, systemMessageType=Normal]
