NTASData [id=16593109633, subwayLine=BD, stationId=CFK2, trainId=205, trainMessage=Arriving, trainDirection=West, timeInt=7.586651546749227, timeString=07.59, trainDestination=KIP2, createDate=Sun Sep 17 10:18:31 EDT 2017, systemMessageType=Normal]
NTASData [id=16593109634, subwayLine=BD, stationId=CFK2, trainId=206, trainMessage=Arriving, trainDirection=West, timeInt=11.81504770773994, timeString=11.82, trainDestination=KIP2, createDate=Sun Sep 17 10:18:31 EDT 2017, systemMessageType=Normal]
NTASData [id=16593109635, subwayLine=BD, stationId=SHE2, trainId=204, trainMessage=Delayed, trainDirection=West, timeInt=3.404683125696595, timeString=03.40, trainDestination=KIP2, createDate=Sun Sep 17 10:18:31 EDT 2017, systemMessageType=Normal]
NTASData [id=16593109636, subwayLine=BD, stationId=SHE2, trainId=205, trainMessage=Arriving, trainDirection=West, timeInt=8.549391484829723, timeString=08.55, trainDestination=KIP2, createDate=Sun Sep 17 10:18:31 EDT 2017, systemMessageType=Normal]
NTASData [id=16593109637, subwayLine=BD, stationId=SHE2, trainId=206, trainMessage=Arriving, trainDirection=West, timeInt=12.777787645820434, timeString=12.78, trainDestination=KIP2, createDate=Sun Sep 17 10:18:31 EDT 2017, systemMessageType=Normal]
NTASData [id=16593109638, subwayLine=BD, stationId=YNG2, trainId=203, trainMessage=AtStation, trainDirection=West, timeInt=0.0, timeString=00.00, trainDestination=KIP2, createDate=Sun Sep 17 10:18:31 EDT 2017, systemMessageType=Normal]
NTASData [id=16593109639, subwayLine=BD, stationId=YNG2, trainId=204, trainMessage=Delayed, trainDirection=West, timeInt=4.762058853250775, timeString=04.76, trainDestination=KIP2, createDate=Sun Sep 17 10:18:31 EDT 2017, systemMessageType=Normal]
NTASData [id=16593109640, subwayLine=BD, stationId=YNG2, trainId=205, trainMessage=Arriving, trainDirection=West, timeInt=9.906767212383903, timeString=09.91, trainDestination=KIP2, createDate=Sun Sep 17 10:18:31 EDT 2017, systemMessageType=Normal]
NTASData [id=16593109641, subwayLine=BD, stationId=BAU2, trainId=203, trainMessage=Arriving, trainDirection=West, timeInt=0.7904760371517028, timeString=00.79, trainDestination=KIP2, createDate=Sun Sep 17 10:18:31 EDT 2017, systemMessageType=Normal]
NTASData [id=16593109642, subwayLine=BD, stationId=BAU2, trainId=204, trainMessage=Delayed, trainDirection=West, timeInt=5.552534890402477, timeString=05.55, trainDestination=KIP2, createDate=Sun Sep 17 10:18:31 EDT 2017, systemMessageType=Normal]
NTASData [id=16593109643, subwayLine=BD, stationId=BAU2, trainId=205, trainMessage=Arriving, trainDirection=West, timeInt=10.697243249535605, timeString=10.70, trainDestination=KIP2, createDate=Sun Sep 17 10:18:31 EDT 2017, systemMessageType=Normal]
NTASData [id=16593109644, subwayLine=BD, stationId=SGL2, trainId=203, trainMessage=Arriving, trainDirection=West, timeInt=1.918544024767802, timeString=01.92, trainDestination=KIP2, createDate=Sun Sep 17 10:18:31 EDT 2017, systemMessageType=Normal]
NTASData [id=16593109645, subwayLine=BD, stationId=SGL2, trainId=204, trainMessage=Delayed, trainDirection=West, timeInt=6.6806028780185756, timeString=06.68, trainDestination=KIP2, createDate=Sun Sep 17 10:18:31 EDT 2017, systemMessageType=Normal]
NTASData [id=16593109646, subwayLine=BD, stationId=SGL2, trainId=205, trainMessage=Arriving, trainDirection=West, timeInt=11.825311237151704, timeString=11.83, trainDestination=KIP2, createDate=Sun Sep 17 10:18:31 EDT 2017, systemMessageType=Normal]
NTASData [id=16593109647, subwayLine=BD, stationId=BSP2, trainId=203, trainMessage=Arriving, trainDirection=West, timeInt=2.724307244582044, timeString=02.72, trainDestination=KIP2, createDate=Sun Sep 17 10:18:31 EDT 2017, systemMessageType=Normal]
NTASData [id=16593109648, subwayLine=BD, stationId=BSP2, trainId=204, trainMessage=Delayed, trainDirection=West, timeInt=7.486366097832818, timeString=07.49, trainDestination=KIP2, createDate=Sun Sep 17 10:18:31 EDT 2017, systemMessageType=Normal]
NTASData [id=16593109649, subwayLine=BD, stationId=BSP2, trainId=205, trainMessage=Arriving, trainDirection=West, timeInt=12.631074456965946, timeString=12.63, trainDestination=KIP2, createDate=Sun Sep 17 10:18:31 EDT 2017, systemMessageType=Normal]
NTASData [id=16593109650, subwayLine=BD, stationId=BAT2, trainId=202, trainMessage=AtStation, trainDirection=West, timeInt=0.0, timeString=00.00, trainDestination=KIP2, createDate=Sun Sep 17 10:18:31 EDT 2017, systemMessageType=Normal]
NTASData [id=16593109651, subwayLine=BD, stationId=BAT2, trainId=203, trainMessage=Arriving, trainDirection=West, timeInt=3.655340433436533, timeString=03.66, trainDestination=KIP2, createDate=Sun Sep 17 10:18:31 EDT 2017, systemMessageType=Normal]
NTASData [id=16593109652, subwayLine=BD, stationId=BAT2, trainId=204, trainMessage=Delayed, trainDirection=West, timeInt=8.417399286687306, timeString=08.42, trainDestination=KIP2, createDate=Sun Sep 17 10:18:31 EDT 2017, systemMessageType=Normal]
NTASData [id=16593109653, subwayLine=BD, stationId=CHR2, trainId=202, trainMessage=Arriving, trainDirection=West, timeInt=0.9684018575851394, timeString=00.97, trainDestination=KIP2, createDate=Sun Sep 17 10:18:31 EDT 2017, systemMessageType=Normal]
NTASData [id=16593109654, subwayLine=BD, stationId=CHR2, trainId=203, trainMessage=Arriving, trainDirection=West, timeInt=4.623742291021673, timeString=04.62, trainDestination=KIP2, createDate=Sun Sep 17 10:18:31 EDT 2017, systemMessageType=Normal]
