NTASData [id=16594761773, subwayLine=BD, stationId=DON2, trainId=208, trainMessage=AtStation, trainDirection=West, timeInt=0.0, timeString=00.00, trainDestination=KIP2, createDate=Sun Sep 17 12:21:53 EDT 2017, systemMessageType=Normal]
NTASData [id=16594761774, subwayLine=BD, stationId=DON2, trainId=209, trainMessage=Arriving, trainDirection=West, timeInt=5.452433684210527, timeString=05.45, trainDestination=KIP2, createDate=Sun Sep 17 12:21:53 EDT 2017, systemMessageType=Normal]
NTASData [id=16594761775, subwayLine=BD, stationId=DON2, trainId=210, trainMessage=Arriving, trainDirection=West, timeInt=12.599703752321982, timeString=12.60, trainDestination=KIP2, createDate=Sun Sep 17 12:21:53 EDT 2017, systemMessageType=Normal]
NTASData [id=16594761776, subwayLine=BD, stationId=PAP2, trainId=208, trainMessage=Arriving, trainDirection=West, timeInt=0.9304669969040249, timeString=00.93, trainDestination=KIP2, createDate=Sun Sep 17 12:21:53 EDT 2017, systemMessageType=Normal]
NTASData [id=16594761777, subwayLine=BD, stationId=PAP2, trainId=209, trainMessage=Arriving, trainDirection=West, timeInt=6.3829006811145526, timeString=06.38, trainDestination=KIP2, createDate=Sun Sep 17 12:21:53 EDT 2017, systemMessageType=Normal]
NTASData [id=16594761778, subwayLine=BD, stationId=PAP2, trainId=210, trainMessage=Arriving, trainDirection=West, timeInt=13.53017074922601, timeString=13.53, trainDestination=KIP2, createDate=Sun Sep 17 12:21:53 EDT 2017, systemMessageType=Normal]
NTASData [id=16594761779, subwayLine=BD, stationId=CHE2, trainId=208, trainMessage=Arriving, trainDirection=West, timeInt=1.9580359133126939, timeString=01.96, trainDestination=KIP2, createDate=Sun Sep 17 12:21:53 EDT 2017, systemMessageType=Normal]
NTASData [id=16594761780, subwayLine=BD, stationId=CHE2, trainId=209, trainMessage=Arriving, trainDirection=West, timeInt=7.410469597523221, timeString=07.41, trainDestination=KIP2, createDate=Sun Sep 17 12:21:53 EDT 2017, systemMessageType=Normal]
NTASData [id=16594761781, subwayLine=BD, stationId=CHE2, trainId=210, trainMessage=Arriving, trainDirection=West, timeInt=14.557739665634676, timeString=14.56, trainDestination=KIP2, createDate=Sun Sep 17 12:21:53 EDT 2017, systemMessageType=Normal]
NTASData [id=16594761782, subwayLine=BD, stationId=BRD2, trainId=208, trainMessage=Arriving, trainDirection=West, timeInt=3.036092165944273, timeString=03.04, trainDestination=KIP2, createDate=Sun Sep 17 12:21:53 EDT 2017, systemMessageType=Normal]
NTASData [id=16594761783, subwayLine=BD, stationId=BRD2, trainId=209, trainMessage=Arriving, trainDirection=West, timeInt=8.4885258501548, timeString=08.49, trainDestination=KIP2, createDate=Sun Sep 17 12:21:53 EDT 2017, systemMessageType=Normal]
NTASData [id=16594761784, subwayLine=BD, stationId=BRD2, trainId=210, trainMessage=Arriving, trainDirection=West, timeInt=15.635795918266256, timeString=15.64, trainDestination=KIP2, createDate=Sun Sep 17 12:21:53 EDT 2017, systemMessageType=Normal]
NTASData [id=16594761785, subwayLine=BD, stationId=CFK2, trainId=207, trainMessage=Arriving, trainDirection=West, timeInt=1.1088869349845203, timeString=01.11, trainDestination=KIP2, createDate=Sun Sep 17 12:21:53 EDT 2017, systemMessageType=Normal]
NTASData [id=16594761786, subwayLine=BD, stationId=CFK2, trainId=208, trainMessage=Arriving, trainDirection=West, timeInt=4.399979100928793, timeString=04.40, trainDestination=KIP2, createDate=Sun Sep 17 12:21:53 EDT 2017, systemMessageType=Normal]
NTASData [id=16594761787, subwayLine=BD, stationId=CFK2, trainId=209, trainMessage=Arriving, trainDirection=West, timeInt=9.852412785139322, timeString=09.85, trainDestination=KIP2, createDate=Sun Sep 17 12:21:53 EDT 2017, systemMessageType=Normal]
NTASData [id=16594761788, subwayLine=BD, stationId=SHE2, trainId=207, trainMessage=Arriving, trainDirection=West, timeInt=2.0716268730650156, timeString=02.07, trainDestination=KIP2, createDate=Sun Sep 17 12:21:53 EDT 2017, systemMessageType=Normal]
NTASData [id=16594761789, subwayLine=BD, stationId=SHE2, trainId=208, trainMessage=Arriving, trainDirection=West, timeInt=5.3627190390092885, timeString=05.36, trainDestination=KIP2, createDate=Sun Sep 17 12:21:53 EDT 2017, systemMessageType=Normal]
NTASData [id=16594761790, subwayLine=BD, stationId=SHE2, trainId=209, trainMessage=Arriving, trainDirection=West, timeInt=10.815152723219816, timeString=10.82, trainDestination=KIP2, createDate=Sun Sep 17 12:21:53 EDT 2017, systemMessageType=Normal]
NTASData [id=16594761791, subwayLine=BD, stationId=YNG2, trainId=207, trainMessage=Arriving, trainDirection=West, timeInt=3.429002600619196, timeString=03.43, trainDestination=KIP2, createDate=Sun Sep 17 12:21:53 EDT 2017, systemMessageType=Normal]
NTASData [id=16594761792, subwayLine=BD, stationId=YNG2, trainId=208, trainMessage=Arriving, trainDirection=West, timeInt=6.720094766563468, timeString=06.72, trainDestination=KIP2, createDate=Sun Sep 17 12:21:53 EDT 2017, systemMessageType=Normal]
NTASData [id=16594761793, subwayLine=BD, stationId=YNG2, trainId=209, trainMessage=Arriving, trainDirection=West, timeInt=12.172528450773994, timeString=12.17, trainDestination=KIP2, createDate=Sun Sep 17 12:21:53 EDT 2017, systemMessageType=Normal]
NTASData [id=16594761794, subwayLine=BD, stationId=BAU2, trainId=207, trainMessage=Arriving, trainDirection=West, timeInt=4.219478637770898, timeString=04.22, trainDestination=KIP2, createDate=Sun Sep 17 12:21:53 EDT 2017, systemMessageType=Normal]
