NTASData [id=16595117502, subwayLine=YUS, stationId=SPA2, trainId=3, trainMessage=Arriving, trainDirection=South, timeInt=2.5388955555555555, timeString=02.54, trainDestination=SHW2, createDate=Sun Sep 17 12:50:20 EDT 2017, systemMessageType=Normal]
NTASData [id=16595117503, subwayLine=YUS, stationId=SPA2, trainId=118, trainMessage=Arriving, trainDirection=South, timeInt=7.107993333333333, timeString=07.11, trainDestination=SHW2, createDate=Sun Sep 17 12:50:20 EDT 2017, systemMessageType=Normal]
NTASData [id=16595117504, subwayLine=YUS, stationId=SPA2, trainId=119, trainMessage=Arriving, trainDirection=South, timeInt=9.242464444444444, timeString=09.24, trainDestination=SHW2, createDate=Sun Sep 17 12:50:20 EDT 2017, systemMessageType=Normal]
NTASData [id=16595117505, subwayLine=YUS, stationId=DUP2, trainId=3, trainMessage=Arriving, trainDirection=South, timeInt=3.5367044444444447, timeString=03.54, trainDestination=SHW2, createDate=Sun Sep 17 12:50:20 EDT 2017, systemMessageType=Normal]
NTASData [id=16595117506, subwayLine=YUS, stationId=DUP2, trainId=118, trainMessage=Arriving, trainDirection=South, timeInt=8.105802222222222, timeString=08.11, trainDestination=SHW2, createDate=Sun Sep 17 12:50:20 EDT 2017, systemMessageType=Normal]
NTASData [id=16595117507, subwayLine=YUS, stationId=DUP2, trainId=119, trainMessage=Arriving, trainDirection=South, timeInt=10.240273333333333, timeString=10.24, trainDestination=SHW2, createDate=Sun Sep 17 12:50:20 EDT 2017, systemMessageType=Normal]
NTASData [id=16595117508, subwayLine=YUS, stationId=SCW2, trainId=3, trainMessage=Arriving, trainDirection=South, timeInt=6.1612422222222225, timeString=06.16, trainDestination=SHW2, createDate=Sun Sep 17 12:50:20 EDT 2017, systemMessageType=Normal]
NTASData [id=16595117509, subwayLine=YUS, stationId=SCW2, trainId=118, trainMessage=Arriving, trainDirection=South, timeInt=10.73034, timeString=10.73, trainDestination=SHW2, createDate=Sun Sep 17 12:50:20 EDT 2017, systemMessageType=Normal]
NTASData [id=16595117510, subwayLine=YUS, stationId=SCW2, trainId=119, trainMessage=Arriving, trainDirection=South, timeInt=12.864811111111111, timeString=12.86, trainDestination=SHW2, createDate=Sun Sep 17 12:50:20 EDT 2017, systemMessageType=Normal]
NTASData [id=16595117511, subwayLine=YUS, stationId=EGW2, trainId=3, trainMessage=Arriving, trainDirection=South, timeInt=10.974413333333334, timeString=10.97, trainDestination=SHW2, createDate=Sun Sep 17 12:50:20 EDT 2017, systemMessageType=Normal]
