NTASData [id=16595083031, subwayLine=YUS, stationId=QPK1, trainId=120, trainMessage=Arriving, trainDirection=North, timeInt=6.670082592592593, timeString=06.67, trainDestination=FIN1, createDate=Sun Sep 17 12:47:35 EDT 2017, systemMessageType=Normal]
NTASData [id=16595083032, subwayLine=YUS, stationId=QPK1, trainId=195, trainMessage=Delayed, trainDirection=North, timeInt=13.738945555555555, timeString=13.74, trainDestination=FIN1, createDate=Sun Sep 17 12:47:35 EDT 2017, systemMessageType=Normal]
NTASData [id=16595083033, subwayLine=YUS, stationId=STP1, trainId=101, trainMessage=Delayed, trainDirection=North, timeInt=3.6153033333333333, timeString=03.62, trainDestination=FIN1, createDate=Sun Sep 17 12:47:35 EDT 2017, systemMessageType=Normal]
NTASData [id=16595083034, subwayLine=YUS, stationId=STP1, trainId=120, trainMessage=Arriving, trainDirection=North, timeInt=7.820855925925926, timeString=07.82, trainDestination=FIN1, createDate=Sun Sep 17 12:47:35 EDT 2017, systemMessageType=Normal]
NTASData [id=16595083035, subwayLine=YUS, stationId=STP1, trainId=195, trainMessage=Delayed, trainDirection=North, timeInt=14.889718888888886, timeString=14.89, trainDestination=FIN1, createDate=Sun Sep 17 12:47:35 EDT 2017, systemMessageType=Normal]
NTASData [id=16595083036, subwayLine=YUS, stationId=OSG1, trainId=101, trainMessage=Delayed, trainDirection=North, timeInt=4.36645, timeString=04.37, trainDestination=FIN1, createDate=Sun Sep 17 12:47:35 EDT 2017, systemMessageType=Normal]
NTASData [id=16595083037, subwayLine=YUS, stationId=OSG1, trainId=120, trainMessage=Arriving, trainDirection=North, timeInt=8.572002592592593, timeString=08.57, trainDestination=FIN1, createDate=Sun Sep 17 12:47:35 EDT 2017, systemMessageType=Normal]
NTASData [id=16595083038, subwayLine=YUS, stationId=OSG1, trainId=195, trainMessage=Delayed, trainDirection=North, timeInt=15.640865555555555, timeString=15.64, trainDestination=FIN1, createDate=Sun Sep 17 12:47:35 EDT 2017, systemMessageType=Normal]
NTASData [id=16595083039, subwayLine=YUS, stationId=STA1, trainId=102, trainMessage=AtStation, trainDirection=North, timeInt=0.0, timeString=00.00, trainDestination=FIN1, createDate=Sun Sep 17 12:47:35 EDT 2017, systemMessageType=Normal]
NTASData [id=16595083040, subwayLine=YUS, stationId=STA1, trainId=101, trainMessage=Delayed, trainDirection=North, timeInt=5.200287777777778, timeString=05.20, trainDestination=FIN1, createDate=Sun Sep 17 12:47:35 EDT 2017, systemMessageType=Normal]
NTASData [id=16595083041, subwayLine=YUS, stationId=STA1, trainId=120, trainMessage=Arriving, trainDirection=North, timeInt=9.40584037037037, timeString=09.41, trainDestination=FIN1, createDate=Sun Sep 17 12:47:35 EDT 2017, systemMessageType=Normal]
