NTASData [id=16594009731, subwayLine=BD, stationId=CFK2, trainId=219, trainMessage=Arriving, trainDirection=West, timeInt=8.58109823405573, timeString=08.58, trainDestination=KIP2, createDate=Sun Sep 17 11:24:45 EDT 2017, systemMessageType=Normal]
NTASData [id=16594009732, subwayLine=BD, stationId=CFK2, trainId=220, trainMessage=Arriving, trainDirection=West, timeInt=15.281671162848298, timeString=15.28, trainDestination=KIP2, createDate=Sun Sep 17 11:24:45 EDT 2017, systemMessageType=Normal]
NTASData [id=16594009733, subwayLine=BD, stationId=SHE2, trainId=217, trainMessage=Arriving, trainDirection=West, timeInt=0.7077399380804954, timeString=00.71, trainDestination=KIP2, createDate=Sun Sep 17 11:24:45 EDT 2017, systemMessageType=Normal]
NTASData [id=16594009734, subwayLine=BD, stationId=SHE2, trainId=218, trainMessage=Arriving, trainDirection=West, timeInt=6.299200525077401, timeString=06.30, trainDestination=KIP2, createDate=Sun Sep 17 11:24:45 EDT 2017, systemMessageType=Normal]
NTASData [id=16594009735, subwayLine=BD, stationId=SHE2, trainId=219, trainMessage=Arriving, trainDirection=West, timeInt=9.543838172136224, timeString=09.54, trainDestination=KIP2, createDate=Sun Sep 17 11:24:45 EDT 2017, systemMessageType=Normal]
NTASData [id=16594009736, subwayLine=BD, stationId=YNG2, trainId=217, trainMessage=Arriving, trainDirection=West, timeInt=2.0651156656346754, timeString=02.07, trainDestination=KIP2, createDate=Sun Sep 17 11:24:45 EDT 2017, systemMessageType=Normal]
NTASData [id=16594009737, subwayLine=BD, stationId=YNG2, trainId=218, trainMessage=Arriving, trainDirection=West, timeInt=7.656576252631581, timeString=07.66, trainDestination=KIP2, createDate=Sun Sep 17 11:24:45 EDT 2017, systemMessageType=Normal]
NTASData [id=16594009738, subwayLine=BD, stationId=YNG2, trainId=219, trainMessage=Arriving, trainDirection=West, timeInt=10.901213899690406, timeString=10.90, trainDestination=KIP2, createDate=Sun Sep 17 11:24:45 EDT 2017, systemMessageType=Normal]
NTASData [id=16594009739, subwayLine=BD, stationId=BAU2, trainId=216, trainMessage=AtStation, trainDirection=West, timeInt=0.0, timeString=00.00, trainDestination=KIP2, createDate=Sun Sep 17 11:24:45 EDT 2017, systemMessageType=Normal]
NTASData [id=16594009740, subwayLine=BD, stationId=BAU2, trainId=217, trainMessage=Arriving, trainDirection=West, timeInt=2.855591702786378, timeString=02.86, trainDestination=KIP2, createDate=Sun Sep 17 11:24:45 EDT 2017, systemMessageType=Normal]
NTASData [id=16594009741, subwayLine=BD, stationId=BAU2, trainId=218, trainMessage=Arriving, trainDirection=West, timeInt=8.447052289783283, timeString=08.45, trainDestination=KIP2, createDate=Sun Sep 17 11:24:45 EDT 2017, systemMessageType=Normal]
NTASData [id=16594009742, subwayLine=BD, stationId=SGL2, trainId=216, trainMessage=Arriving, trainDirection=West, timeInt=1.1280679876160993, timeString=01.13, trainDestination=KIP2, createDate=Sun Sep 17 11:24:45 EDT 2017, systemMessageType=Normal]
NTASData [id=16594009743, subwayLine=BD, stationId=SGL2, trainId=217, trainMessage=Arriving, trainDirection=West, timeInt=3.9836596904024772, timeString=03.98, trainDestination=KIP2, createDate=Sun Sep 17 11:24:45 EDT 2017, systemMessageType=Normal]
NTASData [id=16594009744, subwayLine=BD, stationId=SGL2, trainId=218, trainMessage=Arriving, trainDirection=West, timeInt=9.575120277399382, timeString=09.58, trainDestination=KIP2, createDate=Sun Sep 17 11:24:45 EDT 2017, systemMessageType=Normal]
NTASData [id=16594009745, subwayLine=BD, stationId=BSP2, trainId=216, trainMessage=Arriving, trainDirection=West, timeInt=1.9338312074303405, timeString=01.93, trainDestination=KIP2, createDate=Sun Sep 17 11:24:45 EDT 2017, systemMessageType=Normal]
NTASData [id=16594009746, subwayLine=BD, stationId=BSP2, trainId=217, trainMessage=Arriving, trainDirection=West, timeInt=4.789422910216719, timeString=04.79, trainDestination=KIP2, createDate=Sun Sep 17 11:24:45 EDT 2017, systemMessageType=Normal]
NTASData [id=16594009747, subwayLine=BD, stationId=BSP2, trainId=218, trainMessage=Arriving, trainDirection=West, timeInt=10.380883497213624, timeString=10.38, trainDestination=KIP2, createDate=Sun Sep 17 11:24:45 EDT 2017, systemMessageType=Normal]
NTASData [id=16594009748, subwayLine=BD, stationId=BAT2, trainId=216, trainMessage=Arriving, trainDirection=West, timeInt=2.86486439628483, timeString=02.86, trainDestination=KIP2, createDate=Sun Sep 17 11:24:45 EDT 2017, systemMessageType=Normal]
NTASData [id=16594009749, subwayLine=BD, stationId=BAT2, trainId=217, trainMessage=Arriving, trainDirection=West, timeInt=5.7204560990712086, timeString=05.72, trainDestination=KIP2, createDate=Sun Sep 17 11:24:45 EDT 2017, systemMessageType=Normal]
NTASData [id=16594009750, subwayLine=BD, stationId=BAT2, trainId=218, trainMessage=Arriving, trainDirection=West, timeInt=11.31191668606811, timeString=11.31, trainDestination=KIP2, createDate=Sun Sep 17 11:24:45 EDT 2017, systemMessageType=Normal]
NTASData [id=16594009751, subwayLine=BD, stationId=CHR2, trainId=216, trainMessage=Arriving, trainDirection=West, timeInt=3.833266253869969, timeString=03.83, trainDestination=KIP2, createDate=Sun Sep 17 11:24:45 EDT 2017, systemMessageType=Normal]
