NTASData [id=16593635761, subwayLine=BD, stationId=CHR1, trainId=201, trainMessage=Arriving, trainDirection=East, timeInt=2.7182448594427244, timeString=02.72, trainDestination=KEN1, createDate=Sun Sep 17 10:56:57 EDT 2017, systemMessageType=Normal]
NTASData [id=16593635762, subwayLine=BD, stationId=CHR1, trainId=202, trainMessage=Arriving, trainDirection=East, timeInt=5.734282506501549, timeString=05.73, trainDestination=KEN1, createDate=Sun Sep 17 10:56:57 EDT 2017, systemMessageType=Normal]
NTASData [id=16593635763, subwayLine=BD, stationId=CHR1, trainId=203, trainMessage=Arriving, trainDirection=East, timeInt=13.09098957770898, timeString=13.09, trainDestination=KEN1, createDate=Sun Sep 17 10:56:57 EDT 2017, systemMessageType=Normal]
NTASData [id=16593635764, subwayLine=BD, stationId=BAT1, trainId=201, trainMessage=Arriving, trainDirection=East, timeInt=3.7016508037151707, timeString=03.70, trainDestination=KEN1, createDate=Sun Sep 17 10:56:57 EDT 2017, systemMessageType=Normal]
NTASData [id=16593635765, subwayLine=BD, stationId=BAT1, trainId=202, trainMessage=Arriving, trainDirection=East, timeInt=6.717688450773993, timeString=06.72, trainDestination=KEN1, createDate=Sun Sep 17 10:56:57 EDT 2017, systemMessageType=Normal]
NTASData [id=16593635766, subwayLine=BD, stationId=BAT1, trainId=203, trainMessage=Arriving, trainDirection=East, timeInt=14.074395521981426, timeString=14.07, trainDestination=KEN1, createDate=Sun Sep 17 10:56:57 EDT 2017, systemMessageType=Normal]
NTASData [id=16593635767, subwayLine=BD, stationId=BSP1, trainId=222, trainMessage=AtStation, trainDirection=East, timeInt=0.0, timeString=00.00, trainDestination=KEN1, createDate=Sun Sep 17 10:56:57 EDT 2017, systemMessageType=Normal]
NTASData [id=16593635768, subwayLine=BD, stationId=BSP1, trainId=201, trainMessage=Arriving, trainDirection=East, timeInt=4.6357980482972145, timeString=04.64, trainDestination=KEN1, createDate=Sun Sep 17 10:56:57 EDT 2017, systemMessageType=Normal]
NTASData [id=16593635769, subwayLine=BD, stationId=BSP1, trainId=202, trainMessage=Arriving, trainDirection=East, timeInt=7.651835695356036, timeString=07.65, trainDestination=KEN1, createDate=Sun Sep 17 10:56:57 EDT 2017, systemMessageType=Normal]
NTASData [id=16593635770, subwayLine=BD, stationId=SGL1, trainId=222, trainMessage=Arriving, trainDirection=East, timeInt=0.9106502786377709, timeString=00.91, trainDestination=KEN1, createDate=Sun Sep 17 10:56:57 EDT 2017, systemMessageType=Normal]
NTASData [id=16593635771, subwayLine=BD, stationId=SGL1, trainId=201, trainMessage=Arriving, trainDirection=East, timeInt=5.546448326934986, timeString=05.55, trainDestination=KEN1, createDate=Sun Sep 17 10:56:57 EDT 2017, systemMessageType=Normal]
NTASData [id=16593635772, subwayLine=BD, stationId=SGL1, trainId=202, trainMessage=Arriving, trainDirection=East, timeInt=8.562485973993807, timeString=08.56, trainDestination=KEN1, createDate=Sun Sep 17 10:56:57 EDT 2017, systemMessageType=Normal]
