NTASData [id=16594688232, subwayLine=YUS, stationId=DUN2, trainId=101, trainMessage=Arriving, trainDirection=South, timeInt=13.922684444444442, timeString=13.92, trainDestination=SHW2, createDate=Sun Sep 17 12:16:09 EDT 2017, systemMessageType=Normal]
NTASData [id=16594688233, subwayLine=YUS, stationId=DUN2, trainId=3, trainMessage=Arriving, trainDirection=South, timeInt=20.937906666666667, timeString=20.94, trainDestination=SHW2, createDate=Sun Sep 17 12:16:09 EDT 2017, systemMessageType=Normal]
NTASData [id=16594688234, subwayLine=YUS, stationId=QUN2, trainId=102, trainMessage=Arriving, trainDirection=South, timeInt=5.097417777777777, timeString=05.10, trainDestination=SHW2, createDate=Sun Sep 17 12:16:09 EDT 2017, systemMessageType=Normal]
NTASData [id=16594688235, subwayLine=YUS, stationId=QUN2, trainId=101, trainMessage=Arriving, trainDirection=South, timeInt=14.679475555555555, timeString=14.68, trainDestination=SHW2, createDate=Sun Sep 17 12:16:09 EDT 2017, systemMessageType=Normal]
NTASData [id=16594688236, subwayLine=YUS, stationId=QUN2, trainId=3, trainMessage=Arriving, trainDirection=South, timeInt=21.694697777777776, timeString=21.69, trainDestination=SHW2, createDate=Sun Sep 17 12:16:09 EDT 2017, systemMessageType=Normal]
NTASData [id=16594688237, subwayLine=YUS, stationId=KNG2, trainId=16, trainMessage=Arriving, trainDirection=South, timeInt=0.3917244444444445, timeString=00.39, trainDestination=SHW2, createDate=Sun Sep 17 12:16:09 EDT 2017, systemMessageType=Normal]
NTASData [id=16594688238, subwayLine=YUS, stationId=KNG2, trainId=102, trainMessage=Arriving, trainDirection=South, timeInt=5.923071111111112, timeString=05.92, trainDestination=SHW2, createDate=Sun Sep 17 12:16:09 EDT 2017, systemMessageType=Normal]
NTASData [id=16594688239, subwayLine=YUS, stationId=KNG2, trainId=101, trainMessage=Arriving, trainDirection=South, timeInt=15.505128888888887, timeString=15.51, trainDestination=SHW2, createDate=Sun Sep 17 12:16:09 EDT 2017, systemMessageType=Normal]
NTASData [id=16594688240, subwayLine=YUS, stationId=UNI2, trainId=16, trainMessage=Arriving, trainDirection=South, timeInt=1.198751111111111, timeString=01.20, trainDestination=SHW2, createDate=Sun Sep 17 12:16:09 EDT 2017, systemMessageType=Normal]
NTASData [id=16594688241, subwayLine=YUS, stationId=UNI2, trainId=102, trainMessage=Arriving, trainDirection=South, timeInt=6.730097777777777, timeString=06.73, trainDestination=SHW2, createDate=Sun Sep 17 12:16:09 EDT 2017, systemMessageType=Normal]
NTASData [id=16594688242, subwayLine=YUS, stationId=UNI2, trainId=101, trainMessage=Arriving, trainDirection=South, timeInt=16.312155555555552, timeString=16.31, trainDestination=SHW2, createDate=Sun Sep 17 12:16:09 EDT 2017, systemMessageType=Normal]
NTASData [id=16594688243, subwayLine=YUS, stationId=STA2, trainId=16, trainMessage=Arriving, trainDirection=South, timeInt=2.12544, timeString=02.13, trainDestination=SHW2, createDate=Sun Sep 17 12:16:09 EDT 2017, systemMessageType=Normal]
NTASData [id=16594688244, subwayLine=YUS, stationId=STA2, trainId=102, trainMessage=Arriving, trainDirection=South, timeInt=7.656786666666667, timeString=07.66, trainDestination=SHW2, createDate=Sun Sep 17 12:16:09 EDT 2017, systemMessageType=Normal]
NTASData [id=16594688245, subwayLine=YUS, stationId=STA2, trainId=101, trainMessage=Arriving, trainDirection=South, timeInt=17.238844444444442, timeString=17.24, trainDestination=SHW2, createDate=Sun Sep 17 12:16:09 EDT 2017, systemMessageType=Normal]
NTASData [id=16594688246, subwayLine=YUS, stationId=OSG2, trainId=16, trainMessage=Arriving, trainDirection=South, timeInt=2.8207066666666667, timeString=02.82, trainDestination=SHW2, createDate=Sun Sep 17 12:16:09 EDT 2017, systemMessageType=Normal]
NTASData [id=16594688247, subwayLine=YUS, stationId=OSG2, trainId=102, trainMessage=Arriving, trainDirection=South, timeInt=8.352053333333334, timeString=08.35, trainDestination=SHW2, createDate=Sun Sep 17 12:16:09 EDT 2017, systemMessageType=Normal]
NTASData [id=16594688248, subwayLine=YUS, stationId=OSG2, trainId=101, trainMessage=Arriving, trainDirection=South, timeInt=17.934111111111108, timeString=17.93, trainDestination=SHW2, createDate=Sun Sep 17 12:16:09 EDT 2017, systemMessageType=Normal]
NTASData [id=16594688249, subwayLine=YUS, stationId=STP2, trainId=16, trainMessage=Arriving, trainDirection=South, timeInt=3.574675555555556, timeString=03.57, trainDestination=SHW2, createDate=Sun Sep 17 12:16:09 EDT 2017, systemMessageType=Normal]
NTASData [id=16594688250, subwayLine=YUS, stationId=STP2, trainId=102, trainMessage=Arriving, trainDirection=South, timeInt=9.106022222222222, timeString=09.11, trainDestination=SHW2, createDate=Sun Sep 17 12:16:09 EDT 2017, systemMessageType=Normal]
NTASData [id=16594688251, subwayLine=YUS, stationId=STP2, trainId=101, trainMessage=Arriving, trainDirection=South, timeInt=18.688079999999996, timeString=18.69, trainDestination=SHW2, createDate=Sun Sep 17 12:16:09 EDT 2017, systemMessageType=Normal]
NTASData [id=16594688252, subwayLine=YUS, stationId=QPK2, trainId=117, trainMessage=Arriving, trainDirection=South, timeInt=0.8873066666666667, timeString=00.89, trainDestination=SHW2, createDate=Sun Sep 17 12:16:09 EDT 2017, systemMessageType=Normal]
NTASData [id=16594688253, subwayLine=YUS, stationId=QPK2, trainId=16, trainMessage=Arriving, trainDirection=South, timeInt=4.716982222222223, timeString=04.72, trainDestination=SHW2, createDate=Sun Sep 17 12:16:09 EDT 2017, systemMessageType=Normal]
NTASData [id=16594688254, subwayLine=YUS, stationId=QPK2, trainId=102, trainMessage=Arriving, trainDirection=South, timeInt=10.248328888888889, timeString=10.25, trainDestination=SHW2, createDate=Sun Sep 17 12:16:09 EDT 2017, systemMessageType=Normal]
NTASData [id=16594688255, subwayLine=YUS, stationId=MUS2, trainId=117, trainMessage=Arriving, trainDirection=South, timeInt=2.14984, timeString=02.15, trainDestination=SHW2, createDate=Sun Sep 17 12:16:09 EDT 2017, systemMessageType=Normal]
NTASData [id=16594688256, subwayLine=YUS, stationId=MUS2, trainId=16, trainMessage=Arriving, trainDirection=South, timeInt=5.979515555555555, timeString=05.98, trainDestination=SHW2, createDate=Sun Sep 17 12:16:09 EDT 2017, systemMessageType=Normal]
NTASData [id=16594688257, subwayLine=YUS, stationId=MUS2, trainId=102, trainMessage=Arriving, trainDirection=South, timeInt=11.510862222222222, timeString=11.51, trainDestination=SHW2, createDate=Sun Sep 17 12:16:09 EDT 2017, systemMessageType=Normal]
NTASData [id=16594688258, subwayLine=YUS, stationId=SGU2, trainId=115, trainMessage=AtStation, trainDirection=South, timeInt=0.0, timeString=00.00, trainDestination=SHW2, createDate=Sun Sep 17 12:16:09 EDT 2017, systemMessageType=Normal]
NTASData [id=16594688259, subwayLine=YUS, stationId=SGU2, trainId=117, trainMessage=Arriving, trainDirection=South, timeInt=3.309362222222222, timeString=03.31, trainDestination=SHW2, createDate=Sun Sep 17 12:16:09 EDT 2017, systemMessageType=Normal]
