NTASData [id=16593128634, subwayLine=YUS, stationId=FIN2, trainId=126, trainMessage=Arriving, trainDirection=North, timeInt=0.6982177777777778, timeString=00.70, trainDestination=FIN1, createDate=Sun Sep 17 10:19:47 EDT 2017, systemMessageType=Normal]
NTASData [id=16593128635, subwayLine=YUS, stationId=FIN2, trainId=128, trainMessage=Arriving, trainDirection=North, timeInt=9.97504, timeString=09.98, trainDestination=FIN1, createDate=Sun Sep 17 10:19:47 EDT 2017, systemMessageType=Normal]
NTASData [id=16593128636, subwayLine=YUS, stationId=FIN2, trainId=101, trainMessage=Arriving, trainDirection=North, timeInt=18.852800000000006, timeString=18.85, trainDestination=FIN1, createDate=Sun Sep 17 10:19:47 EDT 2017, systemMessageType=Normal]
NTASData [id=16593128637, subwayLine=YUS, stationId=YKM2, trainId=125, trainMessage=Arriving, trainDirection=South, timeInt=3.3257066666666666, timeString=03.33, trainDestination=MUS2, createDate=Sun Sep 17 10:19:47 EDT 2017, systemMessageType=Normal]
NTASData [id=16593128638, subwayLine=YUS, stationId=LAW2, trainId=124, trainMessage=Arriving, trainDirection=South, timeInt=1.3546666666666667, timeString=01.35, trainDestination=MUS2, createDate=Sun Sep 17 10:19:47 EDT 2017, systemMessageType=Normal]
NTASData [id=16593128639, subwayLine=YUS, stationId=LAW2, trainId=125, trainMessage=Arriving, trainDirection=South, timeInt=6.838679999999999, timeString=06.84, trainDestination=MUS2, createDate=Sun Sep 17 10:19:47 EDT 2017, systemMessageType=Normal]
NTASData [id=16593128640, subwayLine=YUS, stationId=EGL2, trainId=124, trainMessage=Arriving, trainDirection=South, timeInt=5.637542222222222, timeString=05.64, trainDestination=MUS2, createDate=Sun Sep 17 10:19:47 EDT 2017, systemMessageType=Normal]
NTASData [id=16593128641, subwayLine=YUS, stationId=EGL2, trainId=125, trainMessage=Arriving, trainDirection=South, timeInt=11.121555555555554, timeString=11.12, trainDestination=MUS2, createDate=Sun Sep 17 10:19:47 EDT 2017, systemMessageType=Normal]
NTASData [id=16593128642, subwayLine=YUS, stationId=DAV2, trainId=124, trainMessage=Arriving, trainDirection=South, timeInt=7.247208888888888, timeString=07.25, trainDestination=MUS2, createDate=Sun Sep 17 10:19:47 EDT 2017, systemMessageType=Normal]
NTASData [id=16593128643, subwayLine=YUS, stationId=DAV2, trainId=125, trainMessage=Arriving, trainDirection=South, timeInt=12.731222222222222, timeString=12.73, trainDestination=MUS2, createDate=Sun Sep 17 10:19:47 EDT 2017, systemMessageType=Normal]
