NTASData [id=16595136042, subwayLine=YUS, stationId=LWW2, trainId=119, trainMessage=Arriving, trainDirection=South, timeInt=19.92603555555555, timeString=19.93, trainDestination=SHW2, createDate=Sun Sep 17 12:51:51 EDT 2017, systemMessageType=Normal]
NTASData [id=16595136043, subwayLine=YUS, stationId=YKD2, trainId=3, trainMessage=Arriving, trainDirection=South, timeInt=15.393304, timeString=15.39, trainDestination=SHW2, createDate=Sun Sep 17 12:51:51 EDT 2017, systemMessageType=Normal]
NTASData [id=16595136044, subwayLine=YUS, stationId=YKD2, trainId=118, trainMessage=Arriving, trainDirection=South, timeInt=19.826822222222223, timeString=19.83, trainDestination=SHW2, createDate=Sun Sep 17 12:51:51 EDT 2017, systemMessageType=Normal]
NTASData [id=16595136045, subwayLine=YUS, stationId=YKD2, trainId=119, trainMessage=Arriving, trainDirection=South, timeInt=21.95226222222222, timeString=21.95, trainDestination=SHW2, createDate=Sun Sep 17 12:51:51 EDT 2017, systemMessageType=Normal]
NTASData [id=16595136046, subwayLine=YUS, stationId=WIL2, trainId=3, trainMessage=Arriving, trainDirection=South, timeInt=17.41275733333333, timeString=17.41, trainDestination=SHW2, createDate=Sun Sep 17 12:51:51 EDT 2017, systemMessageType=Normal]
NTASData [id=16595136047, subwayLine=YUS, stationId=WIL2, trainId=118, trainMessage=Arriving, trainDirection=South, timeInt=21.846275555555554, timeString=21.85, trainDestination=SHW2, createDate=Sun Sep 17 12:51:51 EDT 2017, systemMessageType=Normal]
NTASData [id=16595136048, subwayLine=YUS, stationId=WIL2, trainId=119, trainMessage=Arriving, trainDirection=South, timeInt=23.971715555555555, timeString=23.97, trainDestination=SHW2, createDate=Sun Sep 17 12:51:51 EDT 2017, systemMessageType=Normal]
NTASData [id=16595136049, subwayLine=YUS, stationId=SHW2, trainId=113, trainMessage=AtStation, trainDirection=South, timeInt=0.0, timeString=00.00, trainDestination=FIN1, createDate=Sun Sep 17 12:51:51 EDT 2017, systemMessageType=Normal]
NTASData [id=16595136050, subwayLine=YUS, stationId=SHW2, trainId=117, trainMessage=Arriving, trainDirection=South, timeInt=0.5888703703703704, timeString=00.59, trainDestination=SHW2, createDate=Sun Sep 17 12:51:51 EDT 2017, systemMessageType=Normal]
NTASData [id=16595136051, subwayLine=YUS, stationId=SHW2, trainId=532, trainMessage=Arriving, trainDirection=South, timeInt=2.1653148148148147, timeString=02.17, trainDestination=SHW2, createDate=Sun Sep 17 12:51:51 EDT 2017, systemMessageType=Normal]
NTASData [id=16595136052, subwayLine=YUS, stationId=SHW1, trainId=999, trainMessage=Delayed, trainDirection=North, timeInt=0.0, timeString=00.00, trainDestination=FIN1, createDate=Sun Sep 17 12:51:51 EDT 2017, systemMessageType=Normal]
NTASData [id=16595136053, subwayLine=YUS, stationId=SHW1, trainId=117, trainMessage=Arriving, trainDirection=South, timeInt=0.5888703703703704, timeString=00.59, trainDestination=SHW2, createDate=Sun Sep 17 12:51:51 EDT 2017, systemMessageType=Normal]
NTASData [id=16595136054, subwayLine=YUS, stationId=SHW1, trainId=532, trainMessage=Arriving, trainDirection=South, timeInt=2.1653148148148147, timeString=02.17, trainDestination=SHW2, createDate=Sun Sep 17 12:51:51 EDT 2017, systemMessageType=Normal]
NTASData [id=16595136055, subwayLine=YUS, stationId=WIL1, trainId=5, trainMessage=Delayed, trainDirection=North, timeInt=0.0, timeString=00.00, trainDestination=FIN1, createDate=Sun Sep 17 12:51:51 EDT 2017, systemMessageType=Normal]
NTASData [id=16595136056, subwayLine=YUS, stationId=WIL1, trainId=115, trainMessage=Arriving, trainDirection=North, timeInt=0.5163132444444444, timeString=00.52, trainDestination=FIN1, createDate=Sun Sep 17 12:51:51 EDT 2017, systemMessageType=Normal]
NTASData [id=16595136057, subwayLine=YUS, stationId=WIL1, trainId=127, trainMessage=Arriving, trainDirection=North, timeInt=2.400053985185185, timeString=02.40, trainDestination=FIN1, createDate=Sun Sep 17 12:51:51 EDT 2017, systemMessageType=Normal]
NTASData [id=16595136058, subwayLine=YUS, stationId=YKD1, trainId=106, trainMessage=Delayed, trainDirection=North, timeInt=0.28786666666666666, timeString=00.29, trainDestination=FIN1, createDate=Sun Sep 17 12:51:51 EDT 2017, systemMessageType=Normal]
NTASData [id=16595136059, subwayLine=YUS, stationId=YKD1, trainId=196, trainMessage=Delayed, trainDirection=North, timeInt=1.3716, timeString=01.37, trainDestination=FIN1, createDate=Sun Sep 17 12:51:51 EDT 2017, systemMessageType=Normal]
NTASData [id=16595136060, subwayLine=YUS, stationId=YKD1, trainId=5, trainMessage=Delayed, trainDirection=North, timeInt=2.015502222222222, timeString=02.02, trainDestination=FIN1, createDate=Sun Sep 17 12:51:51 EDT 2017, systemMessageType=Normal]
NTASData [id=16595136061, subwayLine=YUS, stationId=LWW1, trainId=128, trainMessage=Arriving, trainDirection=North, timeInt=0.4872222222222223, timeString=00.49, trainDestination=FIN1, createDate=Sun Sep 17 12:51:51 EDT 2017, systemMessageType=Normal]
NTASData [id=16595136062, subwayLine=YUS, stationId=LWW1, trainId=129, trainMessage=Delayed, trainDirection=North, timeInt=1.0154814814814814, timeString=01.02, trainDestination=FIN1, createDate=Sun Sep 17 12:51:51 EDT 2017, systemMessageType=Normal]
NTASData [id=16595136063, subwayLine=YUS, stationId=LWW1, trainId=104, trainMessage=Delayed, trainDirection=North, timeInt=1.5437407407407409, timeString=01.54, trainDestination=FIN1, createDate=Sun Sep 17 12:51:51 EDT 2017, systemMessageType=Normal]
NTASData [id=16595136064, subwayLine=YUS, stationId=GCN1, trainId=195, trainMessage=Arriving, trainDirection=North, timeInt=0.7222037037037037, timeString=00.72, trainDestination=FIN1, createDate=Sun Sep 17 12:51:51 EDT 2017, systemMessageType=Normal]
NTASData [id=16595136065, subwayLine=YUS, stationId=GCN1, trainId=128, trainMessage=Arriving, trainDirection=North, timeInt=1.845711111111111, timeString=01.85, trainDestination=FIN1, createDate=Sun Sep 17 12:51:51 EDT 2017, systemMessageType=Normal]
NTASData [id=16595136066, subwayLine=YUS, stationId=GCN1, trainId=129, trainMessage=Delayed, trainDirection=North, timeInt=2.3739703703703707, timeString=02.37, trainDestination=FIN1, createDate=Sun Sep 17 12:51:51 EDT 2017, systemMessageType=Normal]
NTASData [id=16595136067, subwayLine=YUS, stationId=EGW1, trainId=195, trainMessage=Arriving, trainDirection=North, timeInt=2.5424081481481484, timeString=02.54, trainDestination=FIN1, createDate=Sun Sep 17 12:51:51 EDT 2017, systemMessageType=Normal]
NTASData [id=16595136068, subwayLine=YUS, stationId=EGW1, trainId=128, trainMessage=Arriving, trainDirection=North, timeInt=3.6659155555555554, timeString=03.67, trainDestination=FIN1, createDate=Sun Sep 17 12:51:51 EDT 2017, systemMessageType=Normal]
NTASData [id=16595136069, subwayLine=YUS, stationId=EGW1, trainId=129, trainMessage=Delayed, trainDirection=North, timeInt=4.194174814814815, timeString=04.19, trainDestination=FIN1, createDate=Sun Sep 17 12:51:51 EDT 2017, systemMessageType=Normal]
NTASData [id=16595136070, subwayLine=YUS, stationId=SCW1, trainId=195, trainMessage=Arriving, trainDirection=North, timeInt=7.241843703703704, timeString=07.24, trainDestination=FIN1, createDate=Sun Sep 17 12:51:51 EDT 2017, systemMessageType=Normal]
NTASData [id=16595136071, subwayLine=YUS, stationId=SCW1, trainId=128, trainMessage=Arriving, trainDirection=North, timeInt=8.36535111111111, timeString=08.37, trainDestination=FIN1, createDate=Sun Sep 17 12:51:51 EDT 2017, systemMessageType=Normal]
NTASData [id=16595136072, subwayLine=YUS, stationId=SCW1, trainId=129, trainMessage=Delayed, trainDirection=North, timeInt=8.893610370370371, timeString=08.89, trainDestination=FIN1, createDate=Sun Sep 17 12:51:51 EDT 2017, systemMessageType=Normal]
NTASData [id=16595136073, subwayLine=YUS, stationId=DUP1, trainId=195, trainMessage=Arriving, trainDirection=North, timeInt=9.866381481481481, timeString=09.87, trainDestination=FIN1, createDate=Sun Sep 17 12:51:51 EDT 2017, systemMessageType=Normal]
NTASData [id=16595136074, subwayLine=YUS, stationId=DUP1, trainId=128, trainMessage=Arriving, trainDirection=North, timeInt=10.989888888888888, timeString=10.99, trainDestination=FIN1, createDate=Sun Sep 17 12:51:51 EDT 2017, systemMessageType=Normal]
NTASData [id=16595136075, subwayLine=YUS, stationId=DUP1, trainId=129, trainMessage=Delayed, trainDirection=North, timeInt=11.518148148148146, timeString=11.52, trainDestination=FIN1, createDate=Sun Sep 17 12:51:51 EDT 2017, systemMessageType=Normal]
NTASData [id=16595136076, subwayLine=YUS, stationId=SPA1, trainId=195, trainMessage=Arriving, trainDirection=North, timeInt=10.867012592592591, timeString=10.87, trainDestination=FIN1, createDate=Sun Sep 17 12:51:51 EDT 2017, systemMessageType=Normal]
NTASData [id=16595136077, subwayLine=YUS, stationId=SPA1, trainId=128, trainMessage=Arriving, trainDirection=North, timeInt=11.99052, timeString=11.99, trainDestination=FIN1, createDate=Sun Sep 17 12:51:51 EDT 2017, systemMessageType=Normal]
NTASData [id=16595136078, subwayLine=YUS, stationId=SPA1, trainId=129, trainMessage=Delayed, trainDirection=North, timeInt=12.518779259259258, timeString=12.52, trainDestination=FIN1, createDate=Sun Sep 17 12:51:51 EDT 2017, systemMessageType=Normal]
NTASData [id=16595136079, subwayLine=YUS, stationId=SGU1, trainId=120, trainMessage=Arriving, trainDirection=North, timeInt=0.8746066666666666, timeString=00.87, trainDestination=FIN1, createDate=Sun Sep 17 12:51:51 EDT 2017, systemMessageType=Normal]
NTASData [id=16595136080, subwayLine=YUS, stationId=SGU1, trainId=195, trainMessage=Arriving, trainDirection=North, timeInt=11.996619259259258, timeString=12.00, trainDestination=FIN1, createDate=Sun Sep 17 12:51:51 EDT 2017, systemMessageType=Normal]
NTASData [id=16595136081, subwayLine=YUS, stationId=SGU1, trainId=128, trainMessage=Arriving, trainDirection=North, timeInt=13.120126666666666, timeString=13.12, trainDestination=FIN1, createDate=Sun Sep 17 12:51:51 EDT 2017, systemMessageType=Normal]
NTASData [id=16595136082, subwayLine=YUS, stationId=MUS1, trainId=120, trainMessage=Arriving, trainDirection=North, timeInt=2.0766033333333334, timeString=02.08, trainDestination=FIN1, createDate=Sun Sep 17 12:51:51 EDT 2017, systemMessageType=Normal]
NTASData [id=16595136083, subwayLine=YUS, stationId=MUS1, trainId=195, trainMessage=Arriving, trainDirection=North, timeInt=13.198615925925923, timeString=13.20, trainDestination=FIN1, createDate=Sun Sep 17 12:51:51 EDT 2017, systemMessageType=Normal]
NTASData [id=16595136084, subwayLine=YUS, stationId=MUS1, trainId=128, trainMessage=Arriving, trainDirection=North, timeInt=14.322123333333332, timeString=14.32, trainDestination=FIN1, createDate=Sun Sep 17 12:51:51 EDT 2017, systemMessageType=Normal]
