NTASData [id=16593169664, subwayLine=YUS, stationId=YKM1, trainId=102, trainMessage=Arriving, trainDirection=North, timeInt=15.91868888888889, timeString=15.92, trainDestination=FIN1, createDate=Sun Sep 17 10:22:32 EDT 2017, systemMessageType=Normal]
NTASData [id=16593169665, subwayLine=YUS, stationId=YKM1, trainId=104, trainMessage=Arriving, trainDirection=North, timeInt=17.703204444444445, timeString=17.70, trainDestination=FIN1, createDate=Sun Sep 17 10:22:32 EDT 2017, systemMessageType=Normal]
NTASData [id=16593169666, subwayLine=YUS, stationId=SHP1, trainId=128, trainMessage=Arriving, trainDirection=North, timeInt=2.5862844444444444, timeString=02.59, trainDestination=FIN1, createDate=Sun Sep 17 10:22:32 EDT 2017, systemMessageType=Normal]
NTASData [id=16593169667, subwayLine=YUS, stationId=SHP1, trainId=101, trainMessage=Arriving, trainDirection=North, timeInt=11.392924444444445, timeString=11.39, trainDestination=FIN1, createDate=Sun Sep 17 10:22:32 EDT 2017, systemMessageType=Normal]
NTASData [id=16593169668, subwayLine=YUS, stationId=SHP1, trainId=102, trainMessage=Arriving, trainDirection=North, timeInt=19.50504, timeString=19.51, trainDestination=FIN1, createDate=Sun Sep 17 10:22:32 EDT 2017, systemMessageType=Normal]
NTASData [id=16593169669, subwayLine=YUS, stationId=NYC1, trainId=128, trainMessage=Arriving, trainDirection=North, timeInt=4.047502222222223, timeString=04.05, trainDestination=FIN1, createDate=Sun Sep 17 10:22:32 EDT 2017, systemMessageType=Normal]
NTASData [id=16593169670, subwayLine=YUS, stationId=NYC1, trainId=101, trainMessage=Arriving, trainDirection=North, timeInt=12.854142222222222, timeString=12.85, trainDestination=FIN1, createDate=Sun Sep 17 10:22:32 EDT 2017, systemMessageType=Normal]
NTASData [id=16593169671, subwayLine=YUS, stationId=NYC1, trainId=102, trainMessage=Arriving, trainDirection=North, timeInt=20.966257777777777, timeString=20.97, trainDestination=FIN1, createDate=Sun Sep 17 10:22:32 EDT 2017, systemMessageType=Normal]
NTASData [id=16593169672, subwayLine=YUS, stationId=FIN1, trainId=128, trainMessage=Arriving, trainDirection=North, timeInt=6.654542222222222, timeString=06.65, trainDestination=FIN1, createDate=Sun Sep 17 10:22:32 EDT 2017, systemMessageType=Normal]
NTASData [id=16593169673, subwayLine=YUS, stationId=FIN1, trainId=101, trainMessage=Arriving, trainDirection=North, timeInt=15.461182222222224, timeString=15.46, trainDestination=FIN1, createDate=Sun Sep 17 10:22:32 EDT 2017, systemMessageType=Normal]
NTASData [id=16593169674, subwayLine=YUS, stationId=FIN1, trainId=102, trainMessage=Arriving, trainDirection=North, timeInt=23.57329777777778, timeString=23.57, trainDestination=FIN1, createDate=Sun Sep 17 10:22:32 EDT 2017, systemMessageType=Normal]
NTASData [id=16593169675, subwayLine=YUS, stationId=FIN2, trainId=126, trainMessage=AtStation, trainDirection=South, timeInt=0.0, timeString=00.00, trainDestination=MUS2, createDate=Sun Sep 17 10:22:32 EDT 2017, systemMessageType=Normal]
NTASData [id=16593169676, subwayLine=YUS, stationId=FIN2, trainId=128, trainMessage=Arriving, trainDirection=North, timeInt=6.654542222222222, timeString=06.65, trainDestination=FIN1, createDate=Sun Sep 17 10:22:32 EDT 2017, systemMessageType=Normal]
NTASData [id=16593169677, subwayLine=YUS, stationId=FIN2, trainId=101, trainMessage=Arriving, trainDirection=North, timeInt=15.461182222222224, timeString=15.46, trainDestination=FIN1, createDate=Sun Sep 17 10:22:32 EDT 2017, systemMessageType=Normal]
NTASData [id=16593169678, subwayLine=YUS, stationId=LAW2, trainId=125, trainMessage=Arriving, trainDirection=South, timeInt=2.8786666666666667, timeString=02.88, trainDestination=MUS2, createDate=Sun Sep 17 10:22:32 EDT 2017, systemMessageType=Normal]
NTASData [id=16593169679, subwayLine=YUS, stationId=EGL2, trainId=124, trainMessage=Arriving, trainDirection=South, timeInt=2.4101777777777778, timeString=02.41, trainDestination=MUS2, createDate=Sun Sep 17 10:22:32 EDT 2017, systemMessageType=Normal]
NTASData [id=16593169680, subwayLine=YUS, stationId=EGL2, trainId=125, trainMessage=Arriving, trainDirection=South, timeInt=7.161542222222222, timeString=07.16, trainDestination=MUS2, createDate=Sun Sep 17 10:22:32 EDT 2017, systemMessageType=Normal]
NTASData [id=16593169681, subwayLine=YUS, stationId=DAV2, trainId=124, trainMessage=Arriving, trainDirection=South, timeInt=4.019844444444445, timeString=04.02, trainDestination=MUS2, createDate=Sun Sep 17 10:22:32 EDT 2017, systemMessageType=Normal]
NTASData [id=16593169682, subwayLine=YUS, stationId=DAV2, trainId=125, trainMessage=Arriving, trainDirection=South, timeInt=8.771208888888888, timeString=08.77, trainDestination=MUS2, createDate=Sun Sep 17 10:22:32 EDT 2017, systemMessageType=Normal]
NTASData [id=16593169683, subwayLine=YUS, stationId=STC2, trainId=124, trainMessage=Arriving, trainDirection=South, timeInt=6.059053333333333, timeString=06.06, trainDestination=MUS2, createDate=Sun Sep 17 10:22:32 EDT 2017, systemMessageType=Normal]
NTASData [id=16593169684, subwayLine=YUS, stationId=STC2, trainId=125, trainMessage=Arriving, trainDirection=South, timeInt=10.810417777777777, timeString=10.81, trainDestination=MUS2, createDate=Sun Sep 17 10:22:32 EDT 2017, systemMessageType=Normal]
NTASData [id=16593169685, subwayLine=YUS, stationId=SUM2, trainId=123, trainMessage=AtStation, trainDirection=South, timeInt=0.0, timeString=00.00, trainDestination=MUS2, createDate=Sun Sep 17 10:22:32 EDT 2017, systemMessageType=Normal]
NTASData [id=16593169686, subwayLine=YUS, stationId=SUM2, trainId=124, trainMessage=Arriving, trainDirection=South, timeInt=7.463262222222222, timeString=07.46, trainDestination=MUS2, createDate=Sun Sep 17 10:22:32 EDT 2017, systemMessageType=Normal]
NTASData [id=16593169687, subwayLine=YUS, stationId=SUM2, trainId=125, trainMessage=Arriving, trainDirection=South, timeInt=12.214626666666668, timeString=12.21, trainDestination=MUS2, createDate=Sun Sep 17 10:22:32 EDT 2017, systemMessageType=Normal]
NTASData [id=16593169688, subwayLine=YUS, stationId=ROS2, trainId=123, trainMessage=Arriving, trainDirection=South, timeInt=1.0186933333333332, timeString=01.02, trainDestination=MUS2, createDate=Sun Sep 17 10:22:32 EDT 2017, systemMessageType=Normal]
NTASData [id=16593169689, subwayLine=YUS, stationId=ROS2, trainId=124, trainMessage=Arriving, trainDirection=South, timeInt=8.481955555555556, timeString=08.48, trainDestination=MUS2, createDate=Sun Sep 17 10:22:32 EDT 2017, systemMessageType=Normal]
NTASData [id=16593169690, subwayLine=YUS, stationId=ROS2, trainId=125, trainMessage=Arriving, trainDirection=South, timeInt=13.23332, timeString=13.23, trainDestination=MUS2, createDate=Sun Sep 17 10:22:32 EDT 2017, systemMessageType=Normal]
NTASData [id=16593169691, subwayLine=YUS, stationId=BLO2, trainId=123, trainMessage=Arriving, trainDirection=South, timeInt=2.3467022222222225, timeString=02.35, trainDestination=MUS2, createDate=Sun Sep 17 10:22:32 EDT 2017, systemMessageType=Normal]
NTASData [id=16593169692, subwayLine=YUS, stationId=BLO2, trainId=124, trainMessage=Arriving, trainDirection=South, timeInt=9.809964444444445, timeString=09.81, trainDestination=MUS2, createDate=Sun Sep 17 10:22:32 EDT 2017, systemMessageType=Normal]
NTASData [id=16593169693, subwayLine=YUS, stationId=BLO2, trainId=125, trainMessage=Arriving, trainDirection=South, timeInt=14.56132888888889, timeString=14.56, trainDestination=MUS2, createDate=Sun Sep 17 10:22:32 EDT 2017, systemMessageType=Normal]
NTASData [id=16593169694, subwayLine=YUS, stationId=WEL2, trainId=123, trainMessage=Arriving, trainDirection=South, timeInt=3.301048888888889, timeString=03.30, trainDestination=MUS2, createDate=Sun Sep 17 10:22:32 EDT 2017, systemMessageType=Normal]
NTASData [id=16593169695, subwayLine=YUS, stationId=WEL2, trainId=124, trainMessage=Arriving, trainDirection=South, timeInt=10.76431111111111, timeString=10.76, trainDestination=MUS2, createDate=Sun Sep 17 10:22:32 EDT 2017, systemMessageType=Normal]
NTASData [id=16593169696, subwayLine=YUS, stationId=WEL2, trainId=125, trainMessage=Arriving, trainDirection=South, timeInt=15.515675555555555, timeString=15.52, trainDestination=MUS2, createDate=Sun Sep 17 10:22:32 EDT 2017, systemMessageType=Normal]
NTASData [id=16593169697, subwayLine=YUS, stationId=COL2, trainId=123, trainMessage=Arriving, trainDirection=South, timeInt=4.2305600000000005, timeString=04.23, trainDestination=MUS2, createDate=Sun Sep 17 10:22:32 EDT 2017, systemMessageType=Normal]
NTASData [id=16593169698, subwayLine=YUS, stationId=COL2, trainId=124, trainMessage=Arriving, trainDirection=South, timeInt=11.69382222222222, timeString=11.69, trainDestination=MUS2, createDate=Sun Sep 17 10:22:32 EDT 2017, systemMessageType=Normal]
NTASData [id=16593169699, subwayLine=YUS, stationId=COL2, trainId=125, trainMessage=Arriving, trainDirection=South, timeInt=16.445186666666668, timeString=16.45, trainDestination=MUS2, createDate=Sun Sep 17 10:22:32 EDT 2017, systemMessageType=Normal]
NTASData [id=16593169700, subwayLine=YUS, stationId=DUN2, trainId=123, trainMessage=Arriving, trainDirection=South, timeInt=5.097417777777778, timeString=05.10, trainDestination=MUS2, createDate=Sun Sep 17 10:22:32 EDT 2017, systemMessageType=Normal]
NTASData [id=16593169701, subwayLine=YUS, stationId=DUN2, trainId=124, trainMessage=Arriving, trainDirection=South, timeInt=12.56068, timeString=12.56, trainDestination=MUS2, createDate=Sun Sep 17 10:22:32 EDT 2017, systemMessageType=Normal]
NTASData [id=16593169702, subwayLine=YUS, stationId=DUN2, trainId=125, trainMessage=Arriving, trainDirection=South, timeInt=17.312044444444442, timeString=17.31, trainDestination=MUS2, createDate=Sun Sep 17 10:22:32 EDT 2017, systemMessageType=Normal]
NTASData [id=16593169703, subwayLine=YUS, stationId=QUN2, trainId=123, trainMessage=Arriving, trainDirection=South, timeInt=5.8542088888888895, timeString=05.85, trainDestination=MUS2, createDate=Sun Sep 17 10:22:32 EDT 2017, systemMessageType=Normal]
NTASData [id=16593169704, subwayLine=YUS, stationId=QUN2, trainId=124, trainMessage=Arriving, trainDirection=South, timeInt=13.31747111111111, timeString=13.32, trainDestination=MUS2, createDate=Sun Sep 17 10:22:32 EDT 2017, systemMessageType=Normal]
NTASData [id=16593169705, subwayLine=YUS, stationId=QUN2, trainId=125, trainMessage=Arriving, trainDirection=South, timeInt=18.068835555555555, timeString=18.07, trainDestination=MUS2, createDate=Sun Sep 17 10:22:32 EDT 2017, systemMessageType=Normal]
NTASData [id=16593169706, subwayLine=YUS, stationId=KNG2, trainId=123, trainMessage=Arriving, trainDirection=South, timeInt=6.679862222222223, timeString=06.68, trainDestination=MUS2, createDate=Sun Sep 17 10:22:32 EDT 2017, systemMessageType=Normal]
NTASData [id=16593169707, subwayLine=YUS, stationId=KNG2, trainId=124, trainMessage=Arriving, trainDirection=South, timeInt=14.143124444444442, timeString=14.14, trainDestination=MUS2, createDate=Sun Sep 17 10:22:32 EDT 2017, systemMessageType=Normal]
NTASData [id=16593169708, subwayLine=YUS, stationId=KNG2, trainId=125, trainMessage=Arriving, trainDirection=South, timeInt=18.89448888888889, timeString=18.89, trainDestination=MUS2, createDate=Sun Sep 17 10:22:32 EDT 2017, systemMessageType=Normal]
