NTASData [id=16594585287, subwayLine=YUS, stationId=COL1, trainId=111, trainMessage=Arriving, trainDirection=North, timeInt=8.710757777777777, timeString=08.71, trainDestination=FIN1, createDate=Sun Sep 17 12:08:10 EDT 2017, systemMessageType=Normal]
NTASData [id=16594585288, subwayLine=YUS, stationId=WEL1, trainId=109, trainMessage=Arriving, trainDirection=North, timeInt=2.539048888888889, timeString=02.54, trainDestination=FIN1, createDate=Sun Sep 17 12:08:10 EDT 2017, systemMessageType=Normal]
NTASData [id=16594585289, subwayLine=YUS, stationId=WEL1, trainId=110, trainMessage=Arriving, trainDirection=North, timeInt=5.645364444444445, timeString=05.65, trainDestination=FIN1, createDate=Sun Sep 17 12:08:10 EDT 2017, systemMessageType=Normal]
NTASData [id=16594585290, subwayLine=YUS, stationId=WEL1, trainId=111, trainMessage=Arriving, trainDirection=North, timeInt=9.628415555555556, timeString=09.63, trainDestination=FIN1, createDate=Sun Sep 17 12:08:10 EDT 2017, systemMessageType=Normal]
NTASData [id=16594585291, subwayLine=YUS, stationId=BLO1, trainId=109, trainMessage=Arriving, trainDirection=North, timeInt=3.493395555555556, timeString=03.49, trainDestination=FIN1, createDate=Sun Sep 17 12:08:10 EDT 2017, systemMessageType=Normal]
NTASData [id=16594585292, subwayLine=YUS, stationId=BLO1, trainId=110, trainMessage=Arriving, trainDirection=North, timeInt=6.599711111111111, timeString=06.60, trainDestination=FIN1, createDate=Sun Sep 17 12:08:10 EDT 2017, systemMessageType=Normal]
NTASData [id=16594585293, subwayLine=YUS, stationId=BLO1, trainId=111, trainMessage=Arriving, trainDirection=North, timeInt=10.582762222222222, timeString=10.58, trainDestination=FIN1, createDate=Sun Sep 17 12:08:10 EDT 2017, systemMessageType=Normal]
NTASData [id=16594585294, subwayLine=YUS, stationId=ROS1, trainId=108, trainMessage=AtStation, trainDirection=North, timeInt=0.0, timeString=00.00, trainDestination=FIN1, createDate=Sun Sep 17 12:08:10 EDT 2017, systemMessageType=Normal]
NTASData [id=16594585295, subwayLine=YUS, stationId=ROS1, trainId=109, trainMessage=Arriving, trainDirection=North, timeInt=4.82196888888889, timeString=04.82, trainDestination=FIN1, createDate=Sun Sep 17 12:08:10 EDT 2017, systemMessageType=Normal]
NTASData [id=16594585296, subwayLine=YUS, stationId=ROS1, trainId=110, trainMessage=Arriving, trainDirection=North, timeInt=7.928284444444444, timeString=07.93, trainDestination=FIN1, createDate=Sun Sep 17 12:08:10 EDT 2017, systemMessageType=Normal]
NTASData [id=16594585297, subwayLine=YUS, stationId=SUM1, trainId=108, trainMessage=Arriving, trainDirection=North, timeInt=1.0294177777777778, timeString=01.03, trainDestination=FIN1, createDate=Sun Sep 17 12:08:10 EDT 2017, systemMessageType=Normal]
NTASData [id=16594585298, subwayLine=YUS, stationId=SUM1, trainId=109, trainMessage=Arriving, trainDirection=North, timeInt=5.8513866666666665, timeString=05.85, trainDestination=FIN1, createDate=Sun Sep 17 12:08:10 EDT 2017, systemMessageType=Normal]
NTASData [id=16594585299, subwayLine=YUS, stationId=SUM1, trainId=110, trainMessage=Arriving, trainDirection=North, timeInt=8.957702222222222, timeString=08.96, trainDestination=FIN1, createDate=Sun Sep 17 12:08:10 EDT 2017, systemMessageType=Normal]
NTASData [id=16594585300, subwayLine=YUS, stationId=STC1, trainId=108, trainMessage=Arriving, trainDirection=North, timeInt=2.437577777777778, timeString=02.44, trainDestination=FIN1, createDate=Sun Sep 17 12:08:10 EDT 2017, systemMessageType=Normal]
NTASData [id=16594585301, subwayLine=YUS, stationId=STC1, trainId=109, trainMessage=Arriving, trainDirection=North, timeInt=7.259546666666667, timeString=07.26, trainDestination=FIN1, createDate=Sun Sep 17 12:08:10 EDT 2017, systemMessageType=Normal]
NTASData [id=16594585302, subwayLine=YUS, stationId=STC1, trainId=110, trainMessage=Arriving, trainDirection=North, timeInt=10.365862222222221, timeString=10.37, trainDestination=FIN1, createDate=Sun Sep 17 12:08:10 EDT 2017, systemMessageType=Normal]
NTASData [id=16594585303, subwayLine=YUS, stationId=DAV1, trainId=108, trainMessage=Arriving, trainDirection=North, timeInt=4.470013333333333, timeString=04.47, trainDestination=FIN1, createDate=Sun Sep 17 12:08:10 EDT 2017, systemMessageType=Normal]
NTASData [id=16594585304, subwayLine=YUS, stationId=DAV1, trainId=109, trainMessage=Arriving, trainDirection=North, timeInt=9.291982222222222, timeString=09.29, trainDestination=FIN1, createDate=Sun Sep 17 12:08:10 EDT 2017, systemMessageType=Normal]
NTASData [id=16594585305, subwayLine=YUS, stationId=DAV1, trainId=110, trainMessage=Arriving, trainDirection=North, timeInt=12.398297777777778, timeString=12.40, trainDestination=FIN1, createDate=Sun Sep 17 12:08:10 EDT 2017, systemMessageType=Normal]
