NTASData [id=16594563911, subwayLine=BD, stationId=DNW2, trainId=202, trainMessage=Arriving, trainDirection=West, timeInt=5.104276591950466, timeString=05.10, trainDestination=KIP2, createDate=Sun Sep 17 12:06:45 EDT 2017, systemMessageType=Normal]
NTASData [id=16594563912, subwayLine=BD, stationId=DNW2, trainId=203, trainMessage=Arriving, trainDirection=West, timeInt=9.447753867492262, timeString=09.45, trainDestination=KIP2, createDate=Sun Sep 17 12:06:45 EDT 2017, systemMessageType=Normal]
NTASData [id=16594563913, subwayLine=BD, stationId=KEL2, trainId=201, trainMessage=Arriving, trainDirection=West, timeInt=2.5192736842105266, timeString=02.52, trainDestination=KIP2, createDate=Sun Sep 17 12:06:45 EDT 2017, systemMessageType=Normal]
NTASData [id=16594563914, subwayLine=BD, stationId=KEL2, trainId=202, trainMessage=Arriving, trainDirection=West, timeInt=6.24012971888545, timeString=06.24, trainDestination=KIP2, createDate=Sun Sep 17 12:06:45 EDT 2017, systemMessageType=Normal]
NTASData [id=16594563915, subwayLine=BD, stationId=KEL2, trainId=203, trainMessage=Arriving, trainDirection=West, timeInt=10.583606994427246, timeString=10.58, trainDestination=KIP2, createDate=Sun Sep 17 12:06:45 EDT 2017, systemMessageType=Normal]
NTASData [id=16594563916, subwayLine=BD, stationId=HPK2, trainId=201, trainMessage=Arriving, trainDirection=West, timeInt=3.7150016099071217, timeString=03.72, trainDestination=KIP2, createDate=Sun Sep 17 12:06:45 EDT 2017, systemMessageType=Normal]
NTASData [id=16594563917, subwayLine=BD, stationId=HPK2, trainId=202, trainMessage=Arriving, trainDirection=West, timeInt=7.435857644582045, timeString=07.44, trainDestination=KIP2, createDate=Sun Sep 17 12:06:45 EDT 2017, systemMessageType=Normal]
NTASData [id=16594563918, subwayLine=BD, stationId=HPK2, trainId=203, trainMessage=Arriving, trainDirection=West, timeInt=11.77933492012384, timeString=11.78, trainDestination=KIP2, createDate=Sun Sep 17 12:06:45 EDT 2017, systemMessageType=Normal]
NTASData [id=16594563919, subwayLine=BD, stationId=RUN2, trainId=222, trainMessage=AtStation, trainDirection=West, timeInt=0.0, timeString=00.00, trainDestination=KIP2, createDate=Sun Sep 17 12:06:45 EDT 2017, systemMessageType=Normal]
NTASData [id=16594563920, subwayLine=BD, stationId=RUN2, trainId=201, trainMessage=Arriving, trainDirection=West, timeInt=4.935358885448918, timeString=04.94, trainDestination=KIP2, createDate=Sun Sep 17 12:06:45 EDT 2017, systemMessageType=Normal]
NTASData [id=16594563921, subwayLine=BD, stationId=RUN2, trainId=202, trainMessage=Arriving, trainDirection=West, timeInt=8.656214920123839, timeString=08.66, trainDestination=KIP2, createDate=Sun Sep 17 12:06:45 EDT 2017, systemMessageType=Normal]
NTASData [id=16594563922, subwayLine=BD, stationId=JNE2, trainId=222, trainMessage=Arriving, trainDirection=West, timeInt=1.214865213622291, timeString=01.21, trainDestination=KIP2, createDate=Sun Sep 17 12:06:45 EDT 2017, systemMessageType=Normal]
NTASData [id=16594563923, subwayLine=BD, stationId=JNE2, trainId=201, trainMessage=Arriving, trainDirection=West, timeInt=6.15022409907121, timeString=06.15, trainDestination=KIP2, createDate=Sun Sep 17 12:06:45 EDT 2017, systemMessageType=Normal]
