NTASData [id=16594992597, subwayLine=YUS, stationId=EGW1, trainId=129, trainMessage=Delayed, trainDirection=North, timeInt=4.194174814814815, timeString=04.19, trainDestination=FIN1, createDate=Sun Sep 17 12:40:13 EDT 2017, systemMessageType=Normal]
NTASData [id=16594992598, subwayLine=YUS, stationId=SCW1, trainId=120, trainMessage=Delayed, trainDirection=North, timeInt=0.7879259259259259, timeString=00.79, trainDestination=FIN1, createDate=Sun Sep 17 12:40:13 EDT 2017, systemMessageType=Normal]
NTASData [id=16594992599, subwayLine=YUS, stationId=SCW1, trainId=195, trainMessage=Arriving, trainDirection=North, timeInt=7.442547407407407, timeString=07.44, trainDestination=FIN1, createDate=Sun Sep 17 12:40:13 EDT 2017, systemMessageType=Normal]
NTASData [id=16594992600, subwayLine=YUS, stationId=SCW1, trainId=128, trainMessage=Delayed, trainDirection=North, timeInt=8.36535111111111, timeString=08.37, trainDestination=FIN1, createDate=Sun Sep 17 12:40:13 EDT 2017, systemMessageType=Normal]
NTASData [id=16594992601, subwayLine=YUS, stationId=DUP1, trainId=120, trainMessage=Delayed, trainDirection=North, timeInt=3.412463703703704, timeString=03.41, trainDestination=FIN1, createDate=Sun Sep 17 12:40:13 EDT 2017, systemMessageType=Normal]
NTASData [id=16594992602, subwayLine=YUS, stationId=DUP1, trainId=195, trainMessage=Arriving, trainDirection=North, timeInt=10.067085185185185, timeString=10.07, trainDestination=FIN1, createDate=Sun Sep 17 12:40:13 EDT 2017, systemMessageType=Normal]
NTASData [id=16594992603, subwayLine=YUS, stationId=DUP1, trainId=128, trainMessage=Delayed, trainDirection=North, timeInt=10.989888888888888, timeString=10.99, trainDestination=FIN1, createDate=Sun Sep 17 12:40:13 EDT 2017, systemMessageType=Normal]
NTASData [id=16594992604, subwayLine=YUS, stationId=SPA1, trainId=120, trainMessage=Delayed, trainDirection=North, timeInt=4.413094814814815, timeString=04.41, trainDestination=FIN1, createDate=Sun Sep 17 12:40:13 EDT 2017, systemMessageType=Normal]
NTASData [id=16594992605, subwayLine=YUS, stationId=SPA1, trainId=195, trainMessage=Arriving, trainDirection=North, timeInt=11.067716296296295, timeString=11.07, trainDestination=FIN1, createDate=Sun Sep 17 12:40:13 EDT 2017, systemMessageType=Normal]
NTASData [id=16594992606, subwayLine=YUS, stationId=SPA1, trainId=128, trainMessage=Delayed, trainDirection=North, timeInt=11.99052, timeString=11.99, trainDestination=FIN1, createDate=Sun Sep 17 12:40:13 EDT 2017, systemMessageType=Normal]
NTASData [id=16594992607, subwayLine=YUS, stationId=SGU1, trainId=120, trainMessage=Delayed, trainDirection=North, timeInt=5.5427014814814815, timeString=05.54, trainDestination=FIN1, createDate=Sun Sep 17 12:40:13 EDT 2017, systemMessageType=Normal]
NTASData [id=16594992608, subwayLine=YUS, stationId=SGU1, trainId=195, trainMessage=Arriving, trainDirection=North, timeInt=12.197322962962962, timeString=12.20, trainDestination=FIN1, createDate=Sun Sep 17 12:40:13 EDT 2017, systemMessageType=Normal]
NTASData [id=16594992609, subwayLine=YUS, stationId=SGU1, trainId=128, trainMessage=Delayed, trainDirection=North, timeInt=13.120126666666666, timeString=13.12, trainDestination=FIN1, createDate=Sun Sep 17 12:40:13 EDT 2017, systemMessageType=Normal]
NTASData [id=16594992610, subwayLine=YUS, stationId=MUS1, trainId=120, trainMessage=Delayed, trainDirection=North, timeInt=6.744698148148149, timeString=06.74, trainDestination=FIN1, createDate=Sun Sep 17 12:40:13 EDT 2017, systemMessageType=Normal]
NTASData [id=16594992611, subwayLine=YUS, stationId=MUS1, trainId=195, trainMessage=Arriving, trainDirection=North, timeInt=13.399319629629627, timeString=13.40, trainDestination=FIN1, createDate=Sun Sep 17 12:40:13 EDT 2017, systemMessageType=Normal]
NTASData [id=16594992612, subwayLine=YUS, stationId=MUS1, trainId=128, trainMessage=Delayed, trainDirection=North, timeInt=14.322123333333332, timeString=14.32, trainDestination=FIN1, createDate=Sun Sep 17 12:40:13 EDT 2017, systemMessageType=Normal]
NTASData [id=16594992613, subwayLine=YUS, stationId=QPK1, trainId=120, trainMessage=Delayed, trainDirection=North, timeInt=8.007231481481481, timeString=08.01, trainDestination=FIN1, createDate=Sun Sep 17 12:40:13 EDT 2017, systemMessageType=Normal]
NTASData [id=16594992614, subwayLine=YUS, stationId=QPK1, trainId=195, trainMessage=Arriving, trainDirection=North, timeInt=14.661852962962962, timeString=14.66, trainDestination=FIN1, createDate=Sun Sep 17 12:40:13 EDT 2017, systemMessageType=Normal]
NTASData [id=16594992615, subwayLine=YUS, stationId=QPK1, trainId=128, trainMessage=Delayed, trainDirection=North, timeInt=15.584656666666666, timeString=15.58, trainDestination=FIN1, createDate=Sun Sep 17 12:40:13 EDT 2017, systemMessageType=Normal]
NTASData [id=16594992616, subwayLine=YUS, stationId=STP1, trainId=126, trainMessage=AtStation, trainDirection=North, timeInt=0.0, timeString=00.00, trainDestination=FIN1, createDate=Sun Sep 17 12:40:13 EDT 2017, systemMessageType=Normal]
NTASData [id=16594992617, subwayLine=YUS, stationId=STP1, trainId=120, trainMessage=Delayed, trainDirection=North, timeInt=9.158004814814817, timeString=09.16, trainDestination=FIN1, createDate=Sun Sep 17 12:40:13 EDT 2017, systemMessageType=Normal]
NTASData [id=16594992618, subwayLine=YUS, stationId=STP1, trainId=195, trainMessage=Arriving, trainDirection=North, timeInt=15.812626296296294, timeString=15.81, trainDestination=FIN1, createDate=Sun Sep 17 12:40:13 EDT 2017, systemMessageType=Normal]
NTASData [id=16594992619, subwayLine=YUS, stationId=OSG1, trainId=126, trainMessage=Arriving, trainDirection=North, timeInt=0.7511466666666666, timeString=00.75, trainDestination=FIN1, createDate=Sun Sep 17 12:40:13 EDT 2017, systemMessageType=Normal]
NTASData [id=16594992620, subwayLine=YUS, stationId=OSG1, trainId=120, trainMessage=Delayed, trainDirection=North, timeInt=9.909151481481482, timeString=09.91, trainDestination=FIN1, createDate=Sun Sep 17 12:40:13 EDT 2017, systemMessageType=Normal]
NTASData [id=16594992621, subwayLine=YUS, stationId=OSG1, trainId=195, trainMessage=Arriving, trainDirection=North, timeInt=16.56377296296296, timeString=16.56, trainDestination=FIN1, createDate=Sun Sep 17 12:40:13 EDT 2017, systemMessageType=Normal]
