NTASData [id=16594946903, subwayLine=BD, stationId=HPK2, trainId=208, trainMessage=Arriving, trainDirection=West, timeInt=7.155592629102168, timeString=07.16, trainDestination=KIP2, createDate=Sun Sep 17 12:36:31 EDT 2017, systemMessageType=Normal]
NTASData [id=16594946904, subwayLine=BD, stationId=HPK2, trainId=209, trainMessage=Arriving, trainDirection=West, timeInt=11.270822474303404, timeString=11.27, trainDestination=KIP2, createDate=Sun Sep 17 12:36:31 EDT 2017, systemMessageType=Normal]
NTASData [id=16594946905, subwayLine=BD, stationId=RUN2, trainId=207, trainMessage=Arriving, trainDirection=West, timeInt=4.935358885448918, timeString=04.94, trainDestination=KIP2, createDate=Sun Sep 17 12:36:31 EDT 2017, systemMessageType=Normal]
NTASData [id=16594946906, subwayLine=BD, stationId=RUN2, trainId=208, trainMessage=Arriving, trainDirection=West, timeInt=8.375949904643964, timeString=08.38, trainDestination=KIP2, createDate=Sun Sep 17 12:36:31 EDT 2017, systemMessageType=Normal]
NTASData [id=16594946907, subwayLine=BD, stationId=RUN2, trainId=209, trainMessage=Arriving, trainDirection=West, timeInt=12.491179749845202, timeString=12.49, trainDestination=KIP2, createDate=Sun Sep 17 12:36:31 EDT 2017, systemMessageType=Normal]
NTASData [id=16594946908, subwayLine=BD, stationId=JNE2, trainId=206, trainMessage=Arriving, trainDirection=West, timeInt=0.6258119628482973, timeString=00.63, trainDestination=KIP2, createDate=Sun Sep 17 12:36:31 EDT 2017, systemMessageType=Normal]
NTASData [id=16594946909, subwayLine=BD, stationId=JNE2, trainId=207, trainMessage=Arriving, trainDirection=West, timeInt=6.15022409907121, timeString=06.15, trainDestination=KIP2, createDate=Sun Sep 17 12:36:31 EDT 2017, systemMessageType=Normal]
NTASData [id=16594946910, subwayLine=BD, stationId=JNE2, trainId=208, trainMessage=Arriving, trainDirection=West, timeInt=9.590815118266255, timeString=09.59, trainDestination=KIP2, createDate=Sun Sep 17 12:36:31 EDT 2017, systemMessageType=Normal]
NTASData [id=16594946911, subwayLine=BD, stationId=OML2, trainId=206, trainMessage=Arriving, trainDirection=West, timeInt=2.229481188854489, timeString=02.23, trainDestination=KIP2, createDate=Sun Sep 17 12:36:31 EDT 2017, systemMessageType=Normal]
NTASData [id=16594946912, subwayLine=BD, stationId=OML2, trainId=207, trainMessage=Arriving, trainDirection=West, timeInt=7.753893325077401, timeString=07.75, trainDestination=KIP2, createDate=Sun Sep 17 12:36:31 EDT 2017, systemMessageType=Normal]
NTASData [id=16594946913, subwayLine=BD, stationId=OML2, trainId=208, trainMessage=Arriving, trainDirection=West, timeInt=11.194484344272446, timeString=11.19, trainDestination=KIP2, createDate=Sun Sep 17 12:36:31 EDT 2017, systemMessageType=Normal]
NTASData [id=16594946914, subwayLine=BD, stationId=RYK2, trainId=206, trainMessage=Arriving, trainDirection=West, timeInt=4.646734276160991, timeString=04.65, trainDestination=KIP2, createDate=Sun Sep 17 12:36:31 EDT 2017, systemMessageType=Normal]
NTASData [id=16594946915, subwayLine=BD, stationId=RYK2, trainId=207, trainMessage=Arriving, trainDirection=West, timeInt=10.171146412383903, timeString=10.17, trainDestination=KIP2, createDate=Sun Sep 17 12:36:31 EDT 2017, systemMessageType=Normal]
