NTASData [id=16594559557, subwayLine=YUS, stationId=WEL2, trainId=16, trainMessage=Arriving, trainDirection=South, timeInt=3.301048888888889, timeString=03.30, trainDestination=SHW2, createDate=Sun Sep 17 12:06:24 EDT 2017, systemMessageType=Normal]
NTASData [id=16594559558, subwayLine=YUS, stationId=WEL2, trainId=102, trainMessage=Arriving, trainDirection=South, timeInt=12.63700888888889, timeString=12.64, trainDestination=SHW2, createDate=Sun Sep 17 12:06:24 EDT 2017, systemMessageType=Normal]
NTASData [id=16594559559, subwayLine=YUS, stationId=WEL2, trainId=101, trainMessage=Arriving, trainDirection=South, timeInt=22.788719999999998, timeString=22.79, trainDestination=SHW2, createDate=Sun Sep 17 12:06:24 EDT 2017, systemMessageType=Normal]
NTASData [id=16594559560, subwayLine=YUS, stationId=COL2, trainId=117, trainMessage=Arriving, trainDirection=South, timeInt=0.6745111111111111, timeString=00.67, trainDestination=SHW2, createDate=Sun Sep 17 12:06:24 EDT 2017, systemMessageType=Normal]
NTASData [id=16594559561, subwayLine=YUS, stationId=COL2, trainId=16, trainMessage=Arriving, trainDirection=South, timeInt=4.2305600000000005, timeString=04.23, trainDestination=SHW2, createDate=Sun Sep 17 12:06:24 EDT 2017, systemMessageType=Normal]
NTASData [id=16594559562, subwayLine=YUS, stationId=COL2, trainId=102, trainMessage=Arriving, trainDirection=South, timeInt=13.56652, timeString=13.57, trainDestination=SHW2, createDate=Sun Sep 17 12:06:24 EDT 2017, systemMessageType=Normal]
NTASData [id=16594559563, subwayLine=YUS, stationId=DUN2, trainId=117, trainMessage=Arriving, trainDirection=South, timeInt=1.541368888888889, timeString=01.54, trainDestination=SHW2, createDate=Sun Sep 17 12:06:24 EDT 2017, systemMessageType=Normal]
NTASData [id=16594559564, subwayLine=YUS, stationId=DUN2, trainId=16, trainMessage=Arriving, trainDirection=South, timeInt=5.097417777777778, timeString=05.10, trainDestination=SHW2, createDate=Sun Sep 17 12:06:24 EDT 2017, systemMessageType=Normal]
NTASData [id=16594559565, subwayLine=YUS, stationId=DUN2, trainId=102, trainMessage=Arriving, trainDirection=South, timeInt=14.433377777777778, timeString=14.43, trainDestination=SHW2, createDate=Sun Sep 17 12:06:24 EDT 2017, systemMessageType=Normal]
NTASData [id=16594559566, subwayLine=YUS, stationId=QUN2, trainId=117, trainMessage=Arriving, trainDirection=South, timeInt=2.29816, timeString=02.30, trainDestination=SHW2, createDate=Sun Sep 17 12:06:24 EDT 2017, systemMessageType=Normal]
NTASData [id=16594559567, subwayLine=YUS, stationId=QUN2, trainId=16, trainMessage=Arriving, trainDirection=South, timeInt=5.8542088888888895, timeString=05.85, trainDestination=SHW2, createDate=Sun Sep 17 12:06:24 EDT 2017, systemMessageType=Normal]
NTASData [id=16594559568, subwayLine=YUS, stationId=QUN2, trainId=102, trainMessage=Arriving, trainDirection=South, timeInt=15.190168888888888, timeString=15.19, trainDestination=SHW2, createDate=Sun Sep 17 12:06:24 EDT 2017, systemMessageType=Normal]
NTASData [id=16594559569, subwayLine=YUS, stationId=KNG2, trainId=117, trainMessage=Arriving, trainDirection=South, timeInt=3.1238133333333336, timeString=03.12, trainDestination=SHW2, createDate=Sun Sep 17 12:06:24 EDT 2017, systemMessageType=Normal]
NTASData [id=16594559570, subwayLine=YUS, stationId=KNG2, trainId=16, trainMessage=Arriving, trainDirection=South, timeInt=6.679862222222223, timeString=06.68, trainDestination=SHW2, createDate=Sun Sep 17 12:06:24 EDT 2017, systemMessageType=Normal]
NTASData [id=16594559571, subwayLine=YUS, stationId=KNG2, trainId=102, trainMessage=Arriving, trainDirection=South, timeInt=16.015822222222223, timeString=16.02, trainDestination=SHW2, createDate=Sun Sep 17 12:06:24 EDT 2017, systemMessageType=Normal]
NTASData [id=16594559572, subwayLine=YUS, stationId=UNI2, trainId=115, trainMessage=AtStation, trainDirection=South, timeInt=0.0, timeString=00.00, trainDestination=SHW2, createDate=Sun Sep 17 12:06:24 EDT 2017, systemMessageType=Normal]
NTASData [id=16594559573, subwayLine=YUS, stationId=UNI2, trainId=117, trainMessage=Arriving, trainDirection=South, timeInt=3.93084, timeString=03.93, trainDestination=SHW2, createDate=Sun Sep 17 12:06:24 EDT 2017, systemMessageType=Normal]
NTASData [id=16594559574, subwayLine=YUS, stationId=UNI2, trainId=16, trainMessage=Arriving, trainDirection=South, timeInt=7.486888888888888, timeString=07.49, trainDestination=SHW2, createDate=Sun Sep 17 12:06:24 EDT 2017, systemMessageType=Normal]
NTASData [id=16594559575, subwayLine=YUS, stationId=STA2, trainId=115, trainMessage=Arriving, trainDirection=South, timeInt=0.9266888888888889, timeString=00.93, trainDestination=SHW2, createDate=Sun Sep 17 12:06:24 EDT 2017, systemMessageType=Normal]
NTASData [id=16594559576, subwayLine=YUS, stationId=STA2, trainId=117, trainMessage=Arriving, trainDirection=South, timeInt=4.857528888888888, timeString=04.86, trainDestination=SHW2, createDate=Sun Sep 17 12:06:24 EDT 2017, systemMessageType=Normal]
NTASData [id=16594559577, subwayLine=YUS, stationId=STA2, trainId=16, trainMessage=Arriving, trainDirection=South, timeInt=8.413577777777778, timeString=08.41, trainDestination=SHW2, createDate=Sun Sep 17 12:06:24 EDT 2017, systemMessageType=Normal]
NTASData [id=16594559578, subwayLine=YUS, stationId=OSG2, trainId=115, trainMessage=Arriving, trainDirection=South, timeInt=1.6219555555555556, timeString=01.62, trainDestination=SHW2, createDate=Sun Sep 17 12:06:24 EDT 2017, systemMessageType=Normal]
NTASData [id=16594559579, subwayLine=YUS, stationId=OSG2, trainId=117, trainMessage=Arriving, trainDirection=South, timeInt=5.552795555555555, timeString=05.55, trainDestination=SHW2, createDate=Sun Sep 17 12:06:24 EDT 2017, systemMessageType=Normal]
NTASData [id=16594559580, subwayLine=YUS, stationId=OSG2, trainId=16, trainMessage=Arriving, trainDirection=South, timeInt=9.108844444444445, timeString=09.11, trainDestination=SHW2, createDate=Sun Sep 17 12:06:24 EDT 2017, systemMessageType=Normal]
NTASData [id=16594559581, subwayLine=YUS, stationId=STP2, trainId=115, trainMessage=Arriving, trainDirection=South, timeInt=2.3759244444444447, timeString=02.38, trainDestination=SHW2, createDate=Sun Sep 17 12:06:24 EDT 2017, systemMessageType=Normal]
NTASData [id=16594559582, subwayLine=YUS, stationId=STP2, trainId=117, trainMessage=Arriving, trainDirection=South, timeInt=6.306764444444443, timeString=06.31, trainDestination=SHW2, createDate=Sun Sep 17 12:06:24 EDT 2017, systemMessageType=Normal]
NTASData [id=16594559583, subwayLine=YUS, stationId=STP2, trainId=16, trainMessage=Arriving, trainDirection=South, timeInt=9.862813333333333, timeString=09.86, trainDestination=SHW2, createDate=Sun Sep 17 12:06:24 EDT 2017, systemMessageType=Normal]
NTASData [id=16594559584, subwayLine=YUS, stationId=QPK2, trainId=114, trainMessage=AtStation, trainDirection=South, timeInt=0.0, timeString=00.00, trainDestination=SHW2, createDate=Sun Sep 17 12:06:24 EDT 2017, systemMessageType=Normal]
