NTASData [id=16593471093, subwayLine=BD, stationId=DNW1, trainId=222, trainMessage=Arriving, trainDirection=East, timeInt=4.167003967801858, timeString=04.17, trainDestination=KEN1, createDate=Sun Sep 17 10:44:37 EDT 2017, systemMessageType=Normal]
NTASData [id=16593471094, subwayLine=BD, stationId=DNW1, trainId=201, trainMessage=Arriving, trainDirection=East, timeInt=10.566756052012387, timeString=10.57, trainDestination=KEN1, createDate=Sun Sep 17 10:44:37 EDT 2017, systemMessageType=Normal]
NTASData [id=16593471095, subwayLine=BD, stationId=LAN1, trainId=221, trainMessage=Arriving, trainDirection=East, timeInt=1.4213554179566565, timeString=01.42, trainDestination=KEN1, createDate=Sun Sep 17 10:44:37 EDT 2017, systemMessageType=Normal]
NTASData [id=16593471096, subwayLine=BD, stationId=LAN1, trainId=222, trainMessage=Arriving, trainDirection=East, timeInt=5.588359385758515, timeString=05.59, trainDestination=KEN1, createDate=Sun Sep 17 10:44:37 EDT 2017, systemMessageType=Normal]
NTASData [id=16593471097, subwayLine=BD, stationId=LAN1, trainId=201, trainMessage=Arriving, trainDirection=East, timeInt=11.988111469969041, timeString=11.99, trainDestination=KEN1, createDate=Sun Sep 17 10:44:37 EDT 2017, systemMessageType=Normal]
NTASData [id=16593471098, subwayLine=BD, stationId=DUF1, trainId=221, trainMessage=Arriving, trainDirection=East, timeInt=2.3008651393188857, timeString=02.30, trainDestination=KEN1, createDate=Sun Sep 17 10:44:37 EDT 2017, systemMessageType=Normal]
NTASData [id=16593471099, subwayLine=BD, stationId=DUF1, trainId=222, trainMessage=Arriving, trainDirection=East, timeInt=6.467869107120745, timeString=06.47, trainDestination=KEN1, createDate=Sun Sep 17 10:44:37 EDT 2017, systemMessageType=Normal]
NTASData [id=16593471100, subwayLine=BD, stationId=DUF1, trainId=201, trainMessage=Arriving, trainDirection=East, timeInt=12.867621191331272, timeString=12.87, trainDestination=KEN1, createDate=Sun Sep 17 10:44:37 EDT 2017, systemMessageType=Normal]
NTASData [id=16593471101, subwayLine=BD, stationId=OSS1, trainId=221, trainMessage=Arriving, trainDirection=East, timeInt=3.55066439628483, timeString=03.55, trainDestination=KEN1, createDate=Sun Sep 17 10:44:37 EDT 2017, systemMessageType=Normal]
NTASData [id=16593471102, subwayLine=BD, stationId=OSS1, trainId=222, trainMessage=Arriving, trainDirection=East, timeInt=7.717668364086688, timeString=07.72, trainDestination=KEN1, createDate=Sun Sep 17 10:44:37 EDT 2017, systemMessageType=Normal]
NTASData [id=16593471103, subwayLine=BD, stationId=OSS1, trainId=201, trainMessage=Arriving, trainDirection=East, timeInt=14.117420448297215, timeString=14.12, trainDestination=KEN1, createDate=Sun Sep 17 10:44:37 EDT 2017, systemMessageType=Normal]
NTASData [id=16593471104, subwayLine=BD, stationId=CHR1, trainId=220, trainMessage=Arriving, trainDirection=East, timeInt=0.9784759430340558, timeString=00.98, trainDestination=KEN1, createDate=Sun Sep 17 10:44:37 EDT 2017, systemMessageType=Normal]
NTASData [id=16593471105, subwayLine=BD, stationId=CHR1, trainId=221, trainMessage=Arriving, trainDirection=East, timeInt=4.784140339318887, timeString=04.78, trainDestination=KEN1, createDate=Sun Sep 17 10:44:37 EDT 2017, systemMessageType=Normal]
