NTASData [id=16592926091, subwayLine=BD, stationId=DON2, trainId=204, trainMessage=Arriving, trainDirection=West, timeInt=8.390617337461302, timeString=08.39, trainDestination=KIP2, createDate=Sun Sep 17 10:06:08 EDT 2017, systemMessageType=Normal]
NTASData [id=16592926092, subwayLine=BD, stationId=PAP2, trainId=202, trainMessage=Arriving, trainDirection=West, timeInt=0.1721223529411765, timeString=00.17, trainDestination=KIP2, createDate=Sun Sep 17 10:06:08 EDT 2017, systemMessageType=Normal]
NTASData [id=16592926093, subwayLine=BD, stationId=PAP2, trainId=203, trainMessage=Arriving, trainDirection=West, timeInt=5.111586130030961, timeString=05.11, trainDestination=KIP2, createDate=Sun Sep 17 10:06:08 EDT 2017, systemMessageType=Normal]
NTASData [id=16592926094, subwayLine=BD, stationId=PAP2, trainId=204, trainMessage=Arriving, trainDirection=West, timeInt=9.321084334365326, timeString=09.32, trainDestination=KIP2, createDate=Sun Sep 17 10:06:08 EDT 2017, systemMessageType=Normal]
NTASData [id=16592926095, subwayLine=BD, stationId=CHE2, trainId=202, trainMessage=Arriving, trainDirection=West, timeInt=1.1996912693498454, timeString=01.20, trainDestination=KIP2, createDate=Sun Sep 17 10:06:08 EDT 2017, systemMessageType=Normal]
NTASData [id=16592926096, subwayLine=BD, stationId=CHE2, trainId=203, trainMessage=Arriving, trainDirection=West, timeInt=6.13915504643963, timeString=06.14, trainDestination=KIP2, createDate=Sun Sep 17 10:06:08 EDT 2017, systemMessageType=Normal]
NTASData [id=16592926097, subwayLine=BD, stationId=CHE2, trainId=204, trainMessage=Arriving, trainDirection=West, timeInt=10.348653250773996, timeString=10.35, trainDestination=KIP2, createDate=Sun Sep 17 10:06:08 EDT 2017, systemMessageType=Normal]
NTASData [id=16592926098, subwayLine=BD, stationId=BRD2, trainId=202, trainMessage=Arriving, trainDirection=West, timeInt=2.2777475219814245, timeString=02.28, trainDestination=KIP2, createDate=Sun Sep 17 10:06:08 EDT 2017, systemMessageType=Normal]
NTASData [id=16592926099, subwayLine=BD, stationId=BRD2, trainId=203, trainMessage=Arriving, trainDirection=West, timeInt=7.217211299071209, timeString=07.22, trainDestination=KIP2, createDate=Sun Sep 17 10:06:08 EDT 2017, systemMessageType=Normal]
NTASData [id=16592926100, subwayLine=BD, stationId=BRD2, trainId=204, trainMessage=Arriving, trainDirection=West, timeInt=11.426709503405574, timeString=11.43, trainDestination=KIP2, createDate=Sun Sep 17 10:06:08 EDT 2017, systemMessageType=Normal]
NTASData [id=16592926101, subwayLine=BD, stationId=CFK2, trainId=201, trainMessage=Arriving, trainDirection=West, timeInt=0.7179313931888546, timeString=00.72, trainDestination=KIP2, createDate=Sun Sep 17 10:06:08 EDT 2017, systemMessageType=Normal]
NTASData [id=16592926102, subwayLine=BD, stationId=CFK2, trainId=202, trainMessage=Arriving, trainDirection=West, timeInt=3.641634456965945, timeString=03.64, trainDestination=KIP2, createDate=Sun Sep 17 10:06:08 EDT 2017, systemMessageType=Normal]
NTASData [id=16592926103, subwayLine=BD, stationId=CFK2, trainId=203, trainMessage=Arriving, trainDirection=West, timeInt=8.58109823405573, timeString=08.58, trainDestination=KIP2, createDate=Sun Sep 17 10:06:08 EDT 2017, systemMessageType=Normal]
NTASData [id=16592926104, subwayLine=BD, stationId=SHE2, trainId=201, trainMessage=Arriving, trainDirection=West, timeInt=1.68067133126935, timeString=01.68, trainDestination=KIP2, createDate=Sun Sep 17 10:06:08 EDT 2017, systemMessageType=Normal]
