NTASData [id=16593160293, subwayLine=YUS, stationId=SHP1, trainId=128, trainMessage=Arriving, trainDirection=North, timeInt=3.331351111111111, timeString=03.33, trainDestination=FIN1, createDate=Sun Sep 17 10:21:56 EDT 2017, systemMessageType=Normal]
NTASData [id=16593160294, subwayLine=YUS, stationId=SHP1, trainId=101, trainMessage=Arriving, trainDirection=North, timeInt=12.234511111111113, timeString=12.23, trainDestination=FIN1, createDate=Sun Sep 17 10:21:56 EDT 2017, systemMessageType=Normal]
NTASData [id=16593160295, subwayLine=YUS, stationId=SHP1, trainId=102, trainMessage=Arriving, trainDirection=North, timeInt=20.027586666666668, timeString=20.03, trainDestination=FIN1, createDate=Sun Sep 17 10:21:56 EDT 2017, systemMessageType=Normal]
NTASData [id=16593160296, subwayLine=YUS, stationId=NYC1, trainId=128, trainMessage=Arriving, trainDirection=North, timeInt=4.792568888888888, timeString=04.79, trainDestination=FIN1, createDate=Sun Sep 17 10:21:56 EDT 2017, systemMessageType=Normal]
NTASData [id=16593160297, subwayLine=YUS, stationId=NYC1, trainId=101, trainMessage=Arriving, trainDirection=North, timeInt=13.695728888888889, timeString=13.70, trainDestination=FIN1, createDate=Sun Sep 17 10:21:56 EDT 2017, systemMessageType=Normal]
NTASData [id=16593160298, subwayLine=YUS, stationId=NYC1, trainId=102, trainMessage=Arriving, trainDirection=North, timeInt=21.488804444444447, timeString=21.49, trainDestination=FIN1, createDate=Sun Sep 17 10:21:56 EDT 2017, systemMessageType=Normal]
NTASData [id=16593160299, subwayLine=YUS, stationId=FIN1, trainId=128, trainMessage=Arriving, trainDirection=North, timeInt=7.3996088888888885, timeString=07.40, trainDestination=FIN1, createDate=Sun Sep 17 10:21:56 EDT 2017, systemMessageType=Normal]
NTASData [id=16593160300, subwayLine=YUS, stationId=FIN1, trainId=101, trainMessage=Arriving, trainDirection=North, timeInt=16.302768888888888, timeString=16.30, trainDestination=FIN1, createDate=Sun Sep 17 10:21:56 EDT 2017, systemMessageType=Normal]
NTASData [id=16593160301, subwayLine=YUS, stationId=FIN1, trainId=102, trainMessage=Arriving, trainDirection=North, timeInt=24.095844444444445, timeString=24.10, trainDestination=FIN1, createDate=Sun Sep 17 10:21:56 EDT 2017, systemMessageType=Normal]
NTASData [id=16593160302, subwayLine=YUS, stationId=FIN2, trainId=126, trainMessage=AtStation, trainDirection=South, timeInt=0.0, timeString=00.00, trainDestination=MUS2, createDate=Sun Sep 17 10:21:56 EDT 2017, systemMessageType=Normal]
NTASData [id=16593160303, subwayLine=YUS, stationId=FIN2, trainId=128, trainMessage=Arriving, trainDirection=North, timeInt=7.3996088888888885, timeString=07.40, trainDestination=FIN1, createDate=Sun Sep 17 10:21:56 EDT 2017, systemMessageType=Normal]
NTASData [id=16593160304, subwayLine=YUS, stationId=FIN2, trainId=101, trainMessage=Arriving, trainDirection=North, timeInt=16.302768888888888, timeString=16.30, trainDestination=FIN1, createDate=Sun Sep 17 10:21:56 EDT 2017, systemMessageType=Normal]
NTASData [id=16593160305, subwayLine=YUS, stationId=YKM2, trainId=125, trainMessage=AtStation, trainDirection=South, timeInt=0.0, timeString=00.00, trainDestination=MUS2, createDate=Sun Sep 17 10:21:56 EDT 2017, systemMessageType=Normal]
NTASData [id=16593160306, subwayLine=YUS, stationId=LAW2, trainId=125, trainMessage=Arriving, trainDirection=South, timeInt=3.512973333333333, timeString=03.51, trainDestination=MUS2, createDate=Sun Sep 17 10:21:56 EDT 2017, systemMessageType=Normal]
NTASData [id=16593160307, subwayLine=YUS, stationId=EGL2, trainId=124, trainMessage=Arriving, trainDirection=South, timeInt=3.4713333333333334, timeString=03.47, trainDestination=MUS2, createDate=Sun Sep 17 10:21:56 EDT 2017, systemMessageType=Normal]
NTASData [id=16593160308, subwayLine=YUS, stationId=EGL2, trainId=125, trainMessage=Arriving, trainDirection=South, timeInt=7.795848888888889, timeString=07.80, trainDestination=MUS2, createDate=Sun Sep 17 10:21:56 EDT 2017, systemMessageType=Normal]
NTASData [id=16593160309, subwayLine=YUS, stationId=DAV2, trainId=124, trainMessage=Arriving, trainDirection=South, timeInt=5.0809999999999995, timeString=05.08, trainDestination=MUS2, createDate=Sun Sep 17 10:21:56 EDT 2017, systemMessageType=Normal]
NTASData [id=16593160310, subwayLine=YUS, stationId=DAV2, trainId=125, trainMessage=Arriving, trainDirection=South, timeInt=9.405515555555555, timeString=09.41, trainDestination=MUS2, createDate=Sun Sep 17 10:21:56 EDT 2017, systemMessageType=Normal]
NTASData [id=16593160311, subwayLine=YUS, stationId=STC2, trainId=124, trainMessage=Arriving, trainDirection=South, timeInt=7.120208888888889, timeString=07.12, trainDestination=MUS2, createDate=Sun Sep 17 10:21:56 EDT 2017, systemMessageType=Normal]
NTASData [id=16593160312, subwayLine=YUS, stationId=STC2, trainId=125, trainMessage=Arriving, trainDirection=South, timeInt=11.444724444444443, timeString=11.44, trainDestination=MUS2, createDate=Sun Sep 17 10:21:56 EDT 2017, systemMessageType=Normal]
