NTASData [id=16595079074, subwayLine=YUS, stationId=DUP1, trainId=195, trainMessage=Delayed, trainDirection=North, timeInt=9.144177777777777, timeString=09.14, trainDestination=FIN1, createDate=Sun Sep 17 12:47:16 EDT 2017, systemMessageType=Normal]
NTASData [id=16595079075, subwayLine=YUS, stationId=DUP1, trainId=128, trainMessage=Delayed, trainDirection=North, timeInt=10.989888888888888, timeString=10.99, trainDestination=FIN1, createDate=Sun Sep 17 12:47:16 EDT 2017, systemMessageType=Normal]
NTASData [id=16595079076, subwayLine=YUS, stationId=SPA1, trainId=120, trainMessage=Arriving, trainDirection=North, timeInt=3.625168888888889, timeString=03.63, trainDestination=FIN1, createDate=Sun Sep 17 12:47:16 EDT 2017, systemMessageType=Normal]
NTASData [id=16595079077, subwayLine=YUS, stationId=SPA1, trainId=195, trainMessage=Delayed, trainDirection=North, timeInt=10.144808888888887, timeString=10.14, trainDestination=FIN1, createDate=Sun Sep 17 12:47:16 EDT 2017, systemMessageType=Normal]
NTASData [id=16595079078, subwayLine=YUS, stationId=SPA1, trainId=128, trainMessage=Delayed, trainDirection=North, timeInt=11.99052, timeString=11.99, trainDestination=FIN1, createDate=Sun Sep 17 12:47:16 EDT 2017, systemMessageType=Normal]
NTASData [id=16595079079, subwayLine=YUS, stationId=SGU1, trainId=101, trainMessage=Delayed, trainDirection=North, timeInt=0.0, timeString=00.00, trainDestination=FIN1, createDate=Sun Sep 17 12:47:16 EDT 2017, systemMessageType=Normal]
NTASData [id=16595079080, subwayLine=YUS, stationId=SGU1, trainId=120, trainMessage=Arriving, trainDirection=North, timeInt=4.754775555555556, timeString=04.75, trainDestination=FIN1, createDate=Sun Sep 17 12:47:16 EDT 2017, systemMessageType=Normal]
NTASData [id=16595079081, subwayLine=YUS, stationId=SGU1, trainId=195, trainMessage=Delayed, trainDirection=North, timeInt=11.274415555555555, timeString=11.27, trainDestination=FIN1, createDate=Sun Sep 17 12:47:16 EDT 2017, systemMessageType=Normal]
NTASData [id=16595079082, subwayLine=YUS, stationId=MUS1, trainId=101, trainMessage=Delayed, trainDirection=North, timeInt=1.2019966666666666, timeString=01.20, trainDestination=FIN1, createDate=Sun Sep 17 12:47:16 EDT 2017, systemMessageType=Normal]
NTASData [id=16595079083, subwayLine=YUS, stationId=MUS1, trainId=120, trainMessage=Arriving, trainDirection=North, timeInt=5.956772222222224, timeString=05.96, trainDestination=FIN1, createDate=Sun Sep 17 12:47:16 EDT 2017, systemMessageType=Normal]
NTASData [id=16595079084, subwayLine=YUS, stationId=MUS1, trainId=195, trainMessage=Delayed, trainDirection=North, timeInt=12.476412222222221, timeString=12.48, trainDestination=FIN1, createDate=Sun Sep 17 12:47:16 EDT 2017, systemMessageType=Normal]
NTASData [id=16595079085, subwayLine=YUS, stationId=QPK1, trainId=101, trainMessage=Delayed, trainDirection=North, timeInt=2.46453, timeString=02.46, trainDestination=FIN1, createDate=Sun Sep 17 12:47:16 EDT 2017, systemMessageType=Normal]
NTASData [id=16595079086, subwayLine=YUS, stationId=QPK1, trainId=120, trainMessage=Arriving, trainDirection=North, timeInt=7.219305555555556, timeString=07.22, trainDestination=FIN1, createDate=Sun Sep 17 12:47:16 EDT 2017, systemMessageType=Normal]
NTASData [id=16595079087, subwayLine=YUS, stationId=QPK1, trainId=195, trainMessage=Delayed, trainDirection=North, timeInt=13.738945555555555, timeString=13.74, trainDestination=FIN1, createDate=Sun Sep 17 12:47:16 EDT 2017, systemMessageType=Normal]
NTASData [id=16595079088, subwayLine=YUS, stationId=STP1, trainId=101, trainMessage=Delayed, trainDirection=North, timeInt=3.6153033333333333, timeString=03.62, trainDestination=FIN1, createDate=Sun Sep 17 12:47:16 EDT 2017, systemMessageType=Normal]
NTASData [id=16595079089, subwayLine=YUS, stationId=STP1, trainId=120, trainMessage=Arriving, trainDirection=North, timeInt=8.370078888888889, timeString=08.37, trainDestination=FIN1, createDate=Sun Sep 17 12:47:16 EDT 2017, systemMessageType=Normal]
NTASData [id=16595079090, subwayLine=YUS, stationId=STP1, trainId=195, trainMessage=Delayed, trainDirection=North, timeInt=14.889718888888886, timeString=14.89, trainDestination=FIN1, createDate=Sun Sep 17 12:47:16 EDT 2017, systemMessageType=Normal]
NTASData [id=16595079091, subwayLine=YUS, stationId=OSG1, trainId=101, trainMessage=Delayed, trainDirection=North, timeInt=4.36645, timeString=04.37, trainDestination=FIN1, createDate=Sun Sep 17 12:47:16 EDT 2017, systemMessageType=Normal]
NTASData [id=16595079092, subwayLine=YUS, stationId=OSG1, trainId=120, trainMessage=Arriving, trainDirection=North, timeInt=9.121225555555554, timeString=09.12, trainDestination=FIN1, createDate=Sun Sep 17 12:47:16 EDT 2017, systemMessageType=Normal]
NTASData [id=16595079093, subwayLine=YUS, stationId=OSG1, trainId=195, trainMessage=Delayed, trainDirection=North, timeInt=15.640865555555555, timeString=15.64, trainDestination=FIN1, createDate=Sun Sep 17 12:47:16 EDT 2017, systemMessageType=Normal]
NTASData [id=16595079094, subwayLine=YUS, stationId=STA1, trainId=102, trainMessage=Arriving, trainDirection=North, timeInt=0.4224866666666667, timeString=00.42, trainDestination=FIN1, createDate=Sun Sep 17 12:47:16 EDT 2017, systemMessageType=Normal]
NTASData [id=16595079095, subwayLine=YUS, stationId=STA1, trainId=101, trainMessage=Delayed, trainDirection=North, timeInt=5.200287777777778, timeString=05.20, trainDestination=FIN1, createDate=Sun Sep 17 12:47:16 EDT 2017, systemMessageType=Normal]
NTASData [id=16595079096, subwayLine=YUS, stationId=STA1, trainId=120, trainMessage=Arriving, trainDirection=North, timeInt=9.955063333333333, timeString=09.96, trainDestination=FIN1, createDate=Sun Sep 17 12:47:16 EDT 2017, systemMessageType=Normal]
NTASData [id=16595079097, subwayLine=YUS, stationId=UNI1, trainId=102, trainMessage=Arriving, trainDirection=North, timeInt=1.3294199999999998, timeString=01.33, trainDestination=FIN1, createDate=Sun Sep 17 12:47:16 EDT 2017, systemMessageType=Normal]
NTASData [id=16595079098, subwayLine=YUS, stationId=UNI1, trainId=101, trainMessage=Delayed, trainDirection=North, timeInt=6.1072211111111105, timeString=06.11, trainDestination=FIN1, createDate=Sun Sep 17 12:47:16 EDT 2017, systemMessageType=Normal]
NTASData [id=16595079099, subwayLine=YUS, stationId=UNI1, trainId=120, trainMessage=Arriving, trainDirection=North, timeInt=10.861996666666666, timeString=10.86, trainDestination=FIN1, createDate=Sun Sep 17 12:47:16 EDT 2017, systemMessageType=Normal]
NTASData [id=16595079100, subwayLine=YUS, stationId=KNG1, trainId=126, trainMessage=AtStation, trainDirection=North, timeInt=0.0, timeString=00.00, trainDestination=FIN1, createDate=Sun Sep 17 12:47:16 EDT 2017, systemMessageType=Normal]
