NTASData [id=16593450436, subwayLine=BD, stationId=DON1, trainId=217, trainMessage=Arriving, trainDirection=East, timeInt=1.2444204334365327, timeString=01.24, trainDestination=KEN1, createDate=Sun Sep 17 10:43:09 EDT 2017, systemMessageType=Normal]
NTASData [id=16593450437, subwayLine=BD, stationId=DON1, trainId=218, trainMessage=Arriving, trainDirection=East, timeInt=5.558808297213622, timeString=05.56, trainDestination=KEN1, createDate=Sun Sep 17 10:43:09 EDT 2017, systemMessageType=Normal]
NTASData [id=16593450438, subwayLine=BD, stationId=DON1, trainId=219, trainMessage=Arriving, trainDirection=East, timeInt=9.680832445820434, timeString=09.68, trainDestination=KEN1, createDate=Sun Sep 17 10:43:09 EDT 2017, systemMessageType=Normal]
NTASData [id=16593450439, subwayLine=BD, stationId=GWD1, trainId=217, trainMessage=Arriving, trainDirection=East, timeInt=2.374186996904025, timeString=02.37, trainDestination=KEN1, createDate=Sun Sep 17 10:43:09 EDT 2017, systemMessageType=Normal]
NTASData [id=16593450440, subwayLine=BD, stationId=GWD1, trainId=218, trainMessage=Arriving, trainDirection=East, timeInt=6.688574860681115, timeString=06.69, trainDestination=KEN1, createDate=Sun Sep 17 10:43:09 EDT 2017, systemMessageType=Normal]
NTASData [id=16593450441, subwayLine=BD, stationId=GWD1, trainId=219, trainMessage=Arriving, trainDirection=East, timeInt=10.810599009287925, timeString=10.81, trainDestination=KEN1, createDate=Sun Sep 17 10:43:09 EDT 2017, systemMessageType=Normal]
NTASData [id=16593450442, subwayLine=BD, stationId=COX1, trainId=217, trainMessage=Arriving, trainDirection=East, timeInt=3.3284340557275547, timeString=03.33, trainDestination=KEN1, createDate=Sun Sep 17 10:43:09 EDT 2017, systemMessageType=Normal]
NTASData [id=16593450443, subwayLine=BD, stationId=COX1, trainId=218, trainMessage=Arriving, trainDirection=East, timeInt=7.6428219195046445, timeString=07.64, trainDestination=KEN1, createDate=Sun Sep 17 10:43:09 EDT 2017, systemMessageType=Normal]
NTASData [id=16593450444, subwayLine=BD, stationId=COX1, trainId=219, trainMessage=Arriving, trainDirection=East, timeInt=11.764846068111455, timeString=11.76, trainDestination=KEN1, createDate=Sun Sep 17 10:43:09 EDT 2017, systemMessageType=Normal]
NTASData [id=16593450445, subwayLine=BD, stationId=WDB1, trainId=216, trainMessage=AtStation, trainDirection=East, timeInt=0.0, timeString=00.00, trainDestination=KEN1, createDate=Sun Sep 17 10:43:09 EDT 2017, systemMessageType=Normal]
NTASData [id=16593450446, subwayLine=BD, stationId=WDB1, trainId=217, trainMessage=Arriving, trainDirection=East, timeInt=4.763802724458205, timeString=04.76, trainDestination=KEN1, createDate=Sun Sep 17 10:43:09 EDT 2017, systemMessageType=Normal]
NTASData [id=16593450447, subwayLine=BD, stationId=WDB1, trainId=218, trainMessage=Arriving, trainDirection=East, timeInt=9.078190588235294, timeString=09.08, trainDestination=KEN1, createDate=Sun Sep 17 10:43:09 EDT 2017, systemMessageType=Normal]
NTASData [id=16593450448, subwayLine=BD, stationId=MST1, trainId=216, trainMessage=Arriving, trainDirection=East, timeInt=1.724834303405573, timeString=01.72, trainDestination=KEN1, createDate=Sun Sep 17 10:43:09 EDT 2017, systemMessageType=Normal]
NTASData [id=16593450449, subwayLine=BD, stationId=MST1, trainId=217, trainMessage=Arriving, trainDirection=East, timeInt=6.488637027863778, timeString=06.49, trainDestination=KEN1, createDate=Sun Sep 17 10:43:09 EDT 2017, systemMessageType=Normal]
NTASData [id=16593450450, subwayLine=BD, stationId=MST1, trainId=218, trainMessage=Arriving, trainDirection=East, timeInt=10.803024891640867, timeString=10.80, trainDestination=KEN1, createDate=Sun Sep 17 10:43:09 EDT 2017, systemMessageType=Normal]
NTASData [id=16593450451, subwayLine=BD, stationId=VPK1, trainId=216, trainMessage=Arriving, trainDirection=East, timeInt=3.9003573993808054, timeString=03.90, trainDestination=KEN1, createDate=Sun Sep 17 10:43:09 EDT 2017, systemMessageType=Normal]
NTASData [id=16593450452, subwayLine=BD, stationId=VPK1, trainId=217, trainMessage=Arriving, trainDirection=East, timeInt=8.66416012383901, timeString=08.66, trainDestination=KEN1, createDate=Sun Sep 17 10:43:09 EDT 2017, systemMessageType=Normal]
NTASData [id=16593450453, subwayLine=BD, stationId=VPK1, trainId=218, trainMessage=Arriving, trainDirection=East, timeInt=12.978547987616098, timeString=12.98, trainDestination=KEN1, createDate=Sun Sep 17 10:43:09 EDT 2017, systemMessageType=Normal]
NTASData [id=16593450454, subwayLine=BD, stationId=WAR1, trainId=215, trainMessage=Arriving, trainDirection=East, timeInt=2.9909089783281737, timeString=02.99, trainDestination=KEN1, createDate=Sun Sep 17 10:43:09 EDT 2017, systemMessageType=Normal]
NTASData [id=16593450455, subwayLine=BD, stationId=WAR1, trainId=216, trainMessage=Arriving, trainDirection=East, timeInt=7.842682476780186, timeString=07.84, trainDestination=KEN1, createDate=Sun Sep 17 10:43:09 EDT 2017, systemMessageType=Normal]
NTASData [id=16593450456, subwayLine=BD, stationId=WAR1, trainId=217, trainMessage=Arriving, trainDirection=East, timeInt=12.60648520123839, timeString=12.61, trainDestination=KEN1, createDate=Sun Sep 17 10:43:09 EDT 2017, systemMessageType=Normal]
NTASData [id=16593450457, subwayLine=BD, stationId=KEN1, trainId=296, trainMessage=Delayed, trainDirection=East, timeInt=0.2914756160990713, timeString=00.29, trainDestination=KEN1, createDate=Sun Sep 17 10:43:09 EDT 2017, systemMessageType=Normal]
NTASData [id=16593450458, subwayLine=BD, stationId=KEN1, trainId=214, trainMessage=Arriving, trainDirection=East, timeInt=2.299016752941177, timeString=02.30, trainDestination=KEN1, createDate=Sun Sep 17 10:43:09 EDT 2017, systemMessageType=Normal]
NTASData [id=16593450459, subwayLine=BD, stationId=KEN1, trainId=215, trainMessage=Arriving, trainDirection=East, timeInt=8.072316007430342, timeString=08.07, trainDestination=KEN1, createDate=Sun Sep 17 10:43:09 EDT 2017, systemMessageType=Normal]
NTASData [id=16593450460, subwayLine=BD, stationId=KEN2, trainId=213, trainMessage=AtStation, trainDirection=West, timeInt=0.0, timeString=00.00, trainDestination=KIP2, createDate=Sun Sep 17 10:43:09 EDT 2017, systemMessageType=Normal]
