NTASData [id=16594659411, subwayLine=YUS, stationId=SUM2, trainId=102, trainMessage=Arriving, trainDirection=South, timeInt=1.4042088888888888, timeString=01.40, trainDestination=SHW2, createDate=Sun Sep 17 12:13:56 EDT 2017, systemMessageType=Normal]
NTASData [id=16594659412, subwayLine=YUS, stationId=SUM2, trainId=101, trainMessage=Arriving, trainDirection=South, timeInt=11.321675555555556, timeString=11.32, trainDestination=SHW2, createDate=Sun Sep 17 12:13:56 EDT 2017, systemMessageType=Normal]
NTASData [id=16594659413, subwayLine=YUS, stationId=SUM2, trainId=3, trainMessage=Arriving, trainDirection=South, timeInt=17.890293333333332, timeString=17.89, trainDestination=SHW2, createDate=Sun Sep 17 12:13:56 EDT 2017, systemMessageType=Normal]
NTASData [id=16594659414, subwayLine=YUS, stationId=ROS2, trainId=102, trainMessage=Arriving, trainDirection=South, timeInt=2.4229022222222225, timeString=02.42, trainDestination=SHW2, createDate=Sun Sep 17 12:13:56 EDT 2017, systemMessageType=Normal]
NTASData [id=16594659415, subwayLine=YUS, stationId=ROS2, trainId=101, trainMessage=Arriving, trainDirection=South, timeInt=12.34036888888889, timeString=12.34, trainDestination=SHW2, createDate=Sun Sep 17 12:13:56 EDT 2017, systemMessageType=Normal]
NTASData [id=16594659416, subwayLine=YUS, stationId=ROS2, trainId=3, trainMessage=Arriving, trainDirection=South, timeInt=18.908986666666664, timeString=18.91, trainDestination=SHW2, createDate=Sun Sep 17 12:13:56 EDT 2017, systemMessageType=Normal]
NTASData [id=16594659417, subwayLine=YUS, stationId=BLO2, trainId=102, trainMessage=Arriving, trainDirection=South, timeInt=3.7509111111111113, timeString=03.75, trainDestination=SHW2, createDate=Sun Sep 17 12:13:56 EDT 2017, systemMessageType=Normal]
NTASData [id=16594659418, subwayLine=YUS, stationId=BLO2, trainId=101, trainMessage=Arriving, trainDirection=South, timeInt=13.668377777777778, timeString=13.67, trainDestination=SHW2, createDate=Sun Sep 17 12:13:56 EDT 2017, systemMessageType=Normal]
NTASData [id=16594659419, subwayLine=YUS, stationId=BLO2, trainId=3, trainMessage=Arriving, trainDirection=South, timeInt=20.236995555555552, timeString=20.24, trainDestination=SHW2, createDate=Sun Sep 17 12:13:56 EDT 2017, systemMessageType=Normal]
NTASData [id=16594659420, subwayLine=YUS, stationId=WEL2, trainId=102, trainMessage=Arriving, trainDirection=South, timeInt=4.705257777777778, timeString=04.71, trainDestination=SHW2, createDate=Sun Sep 17 12:13:56 EDT 2017, systemMessageType=Normal]
NTASData [id=16594659421, subwayLine=YUS, stationId=WEL2, trainId=101, trainMessage=Arriving, trainDirection=South, timeInt=14.622724444444446, timeString=14.62, trainDestination=SHW2, createDate=Sun Sep 17 12:13:56 EDT 2017, systemMessageType=Normal]
NTASData [id=16594659422, subwayLine=YUS, stationId=WEL2, trainId=3, trainMessage=Arriving, trainDirection=South, timeInt=21.19134222222222, timeString=21.19, trainDestination=SHW2, createDate=Sun Sep 17 12:13:56 EDT 2017, systemMessageType=Normal]
NTASData [id=16594659423, subwayLine=YUS, stationId=COL2, trainId=16, trainMessage=AtStation, trainDirection=South, timeInt=0.0, timeString=00.00, trainDestination=SHW2, createDate=Sun Sep 17 12:13:56 EDT 2017, systemMessageType=Normal]
NTASData [id=16594659424, subwayLine=YUS, stationId=COL2, trainId=102, trainMessage=Arriving, trainDirection=South, timeInt=5.634768888888889, timeString=05.63, trainDestination=SHW2, createDate=Sun Sep 17 12:13:56 EDT 2017, systemMessageType=Normal]
NTASData [id=16594659425, subwayLine=YUS, stationId=COL2, trainId=101, trainMessage=Arriving, trainDirection=South, timeInt=15.552235555555555, timeString=15.55, trainDestination=SHW2, createDate=Sun Sep 17 12:13:56 EDT 2017, systemMessageType=Normal]
NTASData [id=16594659426, subwayLine=YUS, stationId=DUN2, trainId=16, trainMessage=Arriving, trainDirection=South, timeInt=0.8668577777777778, timeString=00.87, trainDestination=SHW2, createDate=Sun Sep 17 12:13:56 EDT 2017, systemMessageType=Normal]
NTASData [id=16594659427, subwayLine=YUS, stationId=DUN2, trainId=102, trainMessage=Arriving, trainDirection=South, timeInt=6.501626666666667, timeString=06.50, trainDestination=SHW2, createDate=Sun Sep 17 12:13:56 EDT 2017, systemMessageType=Normal]
NTASData [id=16594659428, subwayLine=YUS, stationId=DUN2, trainId=101, trainMessage=Arriving, trainDirection=South, timeInt=16.419093333333333, timeString=16.42, trainDestination=SHW2, createDate=Sun Sep 17 12:13:56 EDT 2017, systemMessageType=Normal]
NTASData [id=16594659429, subwayLine=YUS, stationId=QUN2, trainId=16, trainMessage=Arriving, trainDirection=South, timeInt=1.623648888888889, timeString=01.62, trainDestination=SHW2, createDate=Sun Sep 17 12:13:56 EDT 2017, systemMessageType=Normal]
NTASData [id=16594659430, subwayLine=YUS, stationId=QUN2, trainId=102, trainMessage=Arriving, trainDirection=South, timeInt=7.258417777777778, timeString=07.26, trainDestination=SHW2, createDate=Sun Sep 17 12:13:56 EDT 2017, systemMessageType=Normal]
NTASData [id=16594659431, subwayLine=YUS, stationId=QUN2, trainId=101, trainMessage=Arriving, trainDirection=South, timeInt=17.175884444444446, timeString=17.18, trainDestination=SHW2, createDate=Sun Sep 17 12:13:56 EDT 2017, systemMessageType=Normal]
NTASData [id=16594659432, subwayLine=YUS, stationId=KNG2, trainId=16, trainMessage=Arriving, trainDirection=South, timeInt=2.4493022222222223, timeString=02.45, trainDestination=SHW2, createDate=Sun Sep 17 12:13:56 EDT 2017, systemMessageType=Normal]
NTASData [id=16594659433, subwayLine=YUS, stationId=KNG2, trainId=102, trainMessage=Arriving, trainDirection=South, timeInt=8.084071111111111, timeString=08.08, trainDestination=SHW2, createDate=Sun Sep 17 12:13:56 EDT 2017, systemMessageType=Normal]
NTASData [id=16594659434, subwayLine=YUS, stationId=KNG2, trainId=101, trainMessage=Arriving, trainDirection=South, timeInt=18.001537777777777, timeString=18.00, trainDestination=SHW2, createDate=Sun Sep 17 12:13:56 EDT 2017, systemMessageType=Normal]
NTASData [id=16594659435, subwayLine=YUS, stationId=UNI2, trainId=16, trainMessage=Arriving, trainDirection=South, timeInt=3.256328888888889, timeString=03.26, trainDestination=SHW2, createDate=Sun Sep 17 12:13:56 EDT 2017, systemMessageType=Normal]
NTASData [id=16594659436, subwayLine=YUS, stationId=UNI2, trainId=102, trainMessage=Arriving, trainDirection=South, timeInt=8.891097777777777, timeString=08.89, trainDestination=SHW2, createDate=Sun Sep 17 12:13:56 EDT 2017, systemMessageType=Normal]
NTASData [id=16594659437, subwayLine=YUS, stationId=UNI2, trainId=101, trainMessage=Arriving, trainDirection=South, timeInt=18.808564444444443, timeString=18.81, trainDestination=SHW2, createDate=Sun Sep 17 12:13:56 EDT 2017, systemMessageType=Normal]
