NTASData [id=16593112689, subwayLine=YUS, stationId=DAV2, trainId=124, trainMessage=Arriving, trainDirection=South, timeInt=8.771208888888888, timeString=08.77, trainDestination=MUS2, createDate=Sun Sep 17 10:18:42 EDT 2017, systemMessageType=Normal]
NTASData [id=16593112690, subwayLine=YUS, stationId=DAV2, trainId=125, trainMessage=Arriving, trainDirection=South, timeInt=13.621786666666665, timeString=13.62, trainDestination=MUS2, createDate=Sun Sep 17 10:18:42 EDT 2017, systemMessageType=Normal]
NTASData [id=16593112691, subwayLine=YUS, stationId=STC2, trainId=123, trainMessage=Arriving, trainDirection=South, timeInt=2.53592, timeString=02.54, trainDestination=MUS2, createDate=Sun Sep 17 10:18:42 EDT 2017, systemMessageType=Normal]
NTASData [id=16593112692, subwayLine=YUS, stationId=STC2, trainId=124, trainMessage=Arriving, trainDirection=South, timeInt=10.810417777777777, timeString=10.81, trainDestination=MUS2, createDate=Sun Sep 17 10:18:42 EDT 2017, systemMessageType=Normal]
NTASData [id=16593112693, subwayLine=YUS, stationId=STC2, trainId=125, trainMessage=Arriving, trainDirection=South, timeInt=15.660995555555555, timeString=15.66, trainDestination=MUS2, createDate=Sun Sep 17 10:18:42 EDT 2017, systemMessageType=Normal]
NTASData [id=16593112694, subwayLine=YUS, stationId=SUM2, trainId=123, trainMessage=Arriving, trainDirection=South, timeInt=3.9401288888888883, timeString=03.94, trainDestination=MUS2, createDate=Sun Sep 17 10:18:42 EDT 2017, systemMessageType=Normal]
NTASData [id=16593112695, subwayLine=YUS, stationId=SUM2, trainId=124, trainMessage=Arriving, trainDirection=South, timeInt=12.214626666666668, timeString=12.21, trainDestination=MUS2, createDate=Sun Sep 17 10:18:42 EDT 2017, systemMessageType=Normal]
NTASData [id=16593112696, subwayLine=YUS, stationId=SUM2, trainId=125, trainMessage=Arriving, trainDirection=South, timeInt=17.065204444444444, timeString=17.07, trainDestination=MUS2, createDate=Sun Sep 17 10:18:42 EDT 2017, systemMessageType=Normal]
NTASData [id=16593112697, subwayLine=YUS, stationId=ROS2, trainId=123, trainMessage=Arriving, trainDirection=South, timeInt=4.9588222222222225, timeString=04.96, trainDestination=MUS2, createDate=Sun Sep 17 10:18:42 EDT 2017, systemMessageType=Normal]
NTASData [id=16593112698, subwayLine=YUS, stationId=ROS2, trainId=124, trainMessage=Arriving, trainDirection=South, timeInt=13.23332, timeString=13.23, trainDestination=MUS2, createDate=Sun Sep 17 10:18:42 EDT 2017, systemMessageType=Normal]
NTASData [id=16593112699, subwayLine=YUS, stationId=ROS2, trainId=125, trainMessage=Arriving, trainDirection=South, timeInt=18.083897777777775, timeString=18.08, trainDestination=MUS2, createDate=Sun Sep 17 10:18:42 EDT 2017, systemMessageType=Normal]
NTASData [id=16593112700, subwayLine=YUS, stationId=BLO2, trainId=123, trainMessage=Arriving, trainDirection=South, timeInt=6.286831111111113, timeString=06.29, trainDestination=MUS2, createDate=Sun Sep 17 10:18:42 EDT 2017, systemMessageType=Normal]
NTASData [id=16593112701, subwayLine=YUS, stationId=BLO2, trainId=124, trainMessage=Arriving, trainDirection=South, timeInt=14.56132888888889, timeString=14.56, trainDestination=MUS2, createDate=Sun Sep 17 10:18:42 EDT 2017, systemMessageType=Normal]
NTASData [id=16593112702, subwayLine=YUS, stationId=BLO2, trainId=125, trainMessage=Arriving, trainDirection=South, timeInt=19.411906666666663, timeString=19.41, trainDestination=MUS2, createDate=Sun Sep 17 10:18:42 EDT 2017, systemMessageType=Normal]
NTASData [id=16593112703, subwayLine=YUS, stationId=WEL2, trainId=123, trainMessage=Arriving, trainDirection=South, timeInt=7.241177777777779, timeString=07.24, trainDestination=MUS2, createDate=Sun Sep 17 10:18:42 EDT 2017, systemMessageType=Normal]
NTASData [id=16593112704, subwayLine=YUS, stationId=WEL2, trainId=124, trainMessage=Arriving, trainDirection=South, timeInt=15.515675555555555, timeString=15.52, trainDestination=MUS2, createDate=Sun Sep 17 10:18:42 EDT 2017, systemMessageType=Normal]
NTASData [id=16593112705, subwayLine=YUS, stationId=WEL2, trainId=125, trainMessage=Arriving, trainDirection=South, timeInt=20.36625333333333, timeString=20.37, trainDestination=MUS2, createDate=Sun Sep 17 10:18:42 EDT 2017, systemMessageType=Normal]
NTASData [id=16593112706, subwayLine=YUS, stationId=COL2, trainId=122, trainMessage=Arriving, trainDirection=South, timeInt=0.4588933333333333, timeString=00.46, trainDestination=MUS2, createDate=Sun Sep 17 10:18:42 EDT 2017, systemMessageType=Normal]
NTASData [id=16593112707, subwayLine=YUS, stationId=COL2, trainId=123, trainMessage=Arriving, trainDirection=South, timeInt=8.17068888888889, timeString=08.17, trainDestination=MUS2, createDate=Sun Sep 17 10:18:42 EDT 2017, systemMessageType=Normal]
NTASData [id=16593112708, subwayLine=YUS, stationId=COL2, trainId=124, trainMessage=Arriving, trainDirection=South, timeInt=16.445186666666668, timeString=16.45, trainDestination=MUS2, createDate=Sun Sep 17 10:18:42 EDT 2017, systemMessageType=Normal]
NTASData [id=16593112709, subwayLine=YUS, stationId=DUN2, trainId=122, trainMessage=Arriving, trainDirection=South, timeInt=1.3257511111111113, timeString=01.33, trainDestination=MUS2, createDate=Sun Sep 17 10:18:42 EDT 2017, systemMessageType=Normal]
NTASData [id=16593112710, subwayLine=YUS, stationId=DUN2, trainId=123, trainMessage=Arriving, trainDirection=South, timeInt=9.037546666666668, timeString=09.04, trainDestination=MUS2, createDate=Sun Sep 17 10:18:42 EDT 2017, systemMessageType=Normal]
NTASData [id=16593112711, subwayLine=YUS, stationId=DUN2, trainId=124, trainMessage=Arriving, trainDirection=South, timeInt=17.312044444444442, timeString=17.31, trainDestination=MUS2, createDate=Sun Sep 17 10:18:42 EDT 2017, systemMessageType=Normal]
NTASData [id=16593112712, subwayLine=YUS, stationId=QUN2, trainId=120, trainMessage=AtStation, trainDirection=South, timeInt=0.0, timeString=00.00, trainDestination=MUS2, createDate=Sun Sep 17 10:18:42 EDT 2017, systemMessageType=Normal]
