NTASData [id=16594296079, subwayLine=BD, stationId=HPK2, trainId=218, trainMessage=Arriving, trainDirection=West, timeInt=1.771969783281734, timeString=01.77, trainDestination=KIP2, createDate=Sun Sep 17 11:45:59 EDT 2017, systemMessageType=Normal]
NTASData [id=16594296080, subwayLine=BD, stationId=HPK2, trainId=219, trainMessage=Arriving, trainDirection=West, timeInt=4.540723095975233, timeString=04.54, trainDestination=KIP2, createDate=Sun Sep 17 11:45:59 EDT 2017, systemMessageType=Normal]
NTASData [id=16594296081, subwayLine=BD, stationId=HPK2, trainId=220, trainMessage=Arriving, trainDirection=West, timeInt=8.123994486687307, timeString=08.12, trainDestination=KIP2, createDate=Sun Sep 17 11:45:59 EDT 2017, systemMessageType=Normal]
NTASData [id=16594296082, subwayLine=BD, stationId=RUN2, trainId=218, trainMessage=Arriving, trainDirection=West, timeInt=2.9923270588235296, timeString=02.99, trainDestination=KIP2, createDate=Sun Sep 17 11:45:59 EDT 2017, systemMessageType=Normal]
NTASData [id=16594296083, subwayLine=BD, stationId=RUN2, trainId=219, trainMessage=Arriving, trainDirection=West, timeInt=5.7610803715170285, timeString=05.76, trainDestination=KIP2, createDate=Sun Sep 17 11:45:59 EDT 2017, systemMessageType=Normal]
NTASData [id=16594296084, subwayLine=BD, stationId=RUN2, trainId=220, trainMessage=Arriving, trainDirection=West, timeInt=9.344351762229103, timeString=09.34, trainDestination=KIP2, createDate=Sun Sep 17 11:45:59 EDT 2017, systemMessageType=Normal]
NTASData [id=16594296085, subwayLine=BD, stationId=JNE2, trainId=218, trainMessage=Arriving, trainDirection=West, timeInt=4.207192272445821, timeString=04.21, trainDestination=KIP2, createDate=Sun Sep 17 11:45:59 EDT 2017, systemMessageType=Normal]
NTASData [id=16594296086, subwayLine=BD, stationId=JNE2, trainId=219, trainMessage=Arriving, trainDirection=West, timeInt=6.9759455851393195, timeString=06.98, trainDestination=KIP2, createDate=Sun Sep 17 11:45:59 EDT 2017, systemMessageType=Normal]
NTASData [id=16594296087, subwayLine=BD, stationId=JNE2, trainId=220, trainMessage=Arriving, trainDirection=West, timeInt=10.559216975851394, timeString=10.56, trainDestination=KIP2, createDate=Sun Sep 17 11:45:59 EDT 2017, systemMessageType=Normal]
NTASData [id=16594296088, subwayLine=BD, stationId=OML2, trainId=218, trainMessage=Arriving, trainDirection=West, timeInt=5.810861498452013, timeString=05.81, trainDestination=KIP2, createDate=Sun Sep 17 11:45:59 EDT 2017, systemMessageType=Normal]
