NTASData [id=16594724737, subwayLine=BD, stationId=KEN1, trainId=210, trainMessage=Delayed, trainDirection=East, timeInt=0.0, timeString=00.00, trainDestination=KIP2, createDate=Sun Sep 17 12:18:59 EDT 2017, systemMessageType=Normal]
NTASData [id=16594724738, subwayLine=BD, stationId=KEN1, trainId=212, trainMessage=Arriving, trainDirection=East, timeInt=4.8264070291021675, timeString=04.83, trainDestination=KEN1, createDate=Sun Sep 17 12:18:59 EDT 2017, systemMessageType=Normal]
NTASData [id=16594724739, subwayLine=BD, stationId=KEN1, trainId=213, trainMessage=Arriving, trainDirection=East, timeInt=10.014568019814241, timeString=10.01, trainDestination=KEN1, createDate=Sun Sep 17 12:18:59 EDT 2017, systemMessageType=Normal]
NTASData [id=16594724740, subwayLine=BD, stationId=KEN2, trainId=211, trainMessage=Delayed, trainDirection=West, timeInt=0.0, timeString=00.00, trainDestination=KIP2, createDate=Sun Sep 17 12:18:59 EDT 2017, systemMessageType=Normal]
NTASData [id=16594724741, subwayLine=BD, stationId=KEN2, trainId=212, trainMessage=Arriving, trainDirection=East, timeInt=4.8264070291021675, timeString=04.83, trainDestination=KEN1, createDate=Sun Sep 17 12:18:59 EDT 2017, systemMessageType=Normal]
NTASData [id=16594724742, subwayLine=BD, stationId=KEN2, trainId=213, trainMessage=Arriving, trainDirection=East, timeInt=10.014568019814241, timeString=10.01, trainDestination=KEN1, createDate=Sun Sep 17 12:18:59 EDT 2017, systemMessageType=Normal]
NTASData [id=16594724743, subwayLine=BD, stationId=VPK2, trainId=209, trainMessage=Arriving, trainDirection=West, timeInt=2.685455108359134, timeString=02.69, trainDestination=KIP2, createDate=Sun Sep 17 12:18:59 EDT 2017, systemMessageType=Normal]
NTASData [id=16594724744, subwayLine=BD, stationId=MST2, trainId=209, trainMessage=Arriving, trainDirection=West, timeInt=4.924957894736843, timeString=04.92, trainDestination=KIP2, createDate=Sun Sep 17 12:18:59 EDT 2017, systemMessageType=Normal]
NTASData [id=16594724745, subwayLine=BD, stationId=WDB2, trainId=209, trainMessage=Arriving, trainDirection=West, timeInt=6.658851269349846, timeString=06.66, trainDestination=KIP2, createDate=Sun Sep 17 12:18:59 EDT 2017, systemMessageType=Normal]
NTASData [id=16594724746, subwayLine=BD, stationId=COX2, trainId=208, trainMessage=AtStation, trainDirection=West, timeInt=0.0, timeString=00.00, trainDestination=KIP2, createDate=Sun Sep 17 12:18:59 EDT 2017, systemMessageType=Normal]
