NTASData [id=16595076473, subwayLine=BD, stationId=RUN2, trainId=209, trainMessage=Arriving, trainDirection=West, timeInt=4.254016346749227, timeString=04.25, trainDestination=KIP2, createDate=Sun Sep 17 12:47:03 EDT 2017, systemMessageType=Normal]
NTASData [id=16595076474, subwayLine=BD, stationId=RUN2, trainId=210, trainMessage=Arriving, trainDirection=West, timeInt=8.120949904643965, timeString=08.12, trainDestination=KIP2, createDate=Sun Sep 17 12:47:03 EDT 2017, systemMessageType=Normal]
NTASData [id=16595076475, subwayLine=BD, stationId=RUN2, trainId=211, trainMessage=Arriving, trainDirection=West, timeInt=11.081148170897833, timeString=11.08, trainDestination=KIP2, createDate=Sun Sep 17 12:47:03 EDT 2017, systemMessageType=Normal]
NTASData [id=16595076476, subwayLine=BD, stationId=JNE2, trainId=208, trainMessage=AtStation, trainDirection=West, timeInt=0.0, timeString=00.00, trainDestination=KIP2, createDate=Sun Sep 17 12:47:03 EDT 2017, systemMessageType=Normal]
NTASData [id=16595076477, subwayLine=BD, stationId=JNE2, trainId=209, trainMessage=Arriving, trainDirection=West, timeInt=5.468881560371518, timeString=05.47, trainDestination=KIP2, createDate=Sun Sep 17 12:47:03 EDT 2017, systemMessageType=Normal]
NTASData [id=16595076478, subwayLine=BD, stationId=JNE2, trainId=210, trainMessage=Arriving, trainDirection=West, timeInt=9.335815118266256, timeString=09.34, trainDestination=KIP2, createDate=Sun Sep 17 12:47:03 EDT 2017, systemMessageType=Normal]
NTASData [id=16595076479, subwayLine=BD, stationId=OML2, trainId=208, trainMessage=Arriving, trainDirection=West, timeInt=1.603669226006192, timeString=01.60, trainDestination=KIP2, createDate=Sun Sep 17 12:47:03 EDT 2017, systemMessageType=Normal]
NTASData [id=16595076480, subwayLine=BD, stationId=OML2, trainId=209, trainMessage=Arriving, trainDirection=West, timeInt=7.072550786377709, timeString=07.07, trainDestination=KIP2, createDate=Sun Sep 17 12:47:03 EDT 2017, systemMessageType=Normal]
NTASData [id=16595076481, subwayLine=BD, stationId=OML2, trainId=210, trainMessage=Arriving, trainDirection=West, timeInt=10.939484344272447, timeString=10.94, trainDestination=KIP2, createDate=Sun Sep 17 12:47:03 EDT 2017, systemMessageType=Normal]
NTASData [id=16595076482, subwayLine=BD, stationId=RYK2, trainId=208, trainMessage=Arriving, trainDirection=West, timeInt=4.020922313312694, timeString=04.02, trainDestination=KIP2, createDate=Sun Sep 17 12:47:03 EDT 2017, systemMessageType=Normal]
NTASData [id=16595076483, subwayLine=BD, stationId=RYK2, trainId=209, trainMessage=Arriving, trainDirection=West, timeInt=9.489803873684211, timeString=09.49, trainDestination=KIP2, createDate=Sun Sep 17 12:47:03 EDT 2017, systemMessageType=Normal]
NTASData [id=16595076484, subwayLine=BD, stationId=RYK2, trainId=210, trainMessage=Arriving, trainDirection=West, timeInt=13.356737431578951, timeString=13.36, trainDestination=KIP2, createDate=Sun Sep 17 12:47:03 EDT 2017, systemMessageType=Normal]
NTASData [id=16595076485, subwayLine=BD, stationId=ISL2, trainId=207, trainMessage=Arriving, trainDirection=West, timeInt=1.6083588260061923, timeString=01.61, trainDestination=KIP2, createDate=Sun Sep 17 12:47:03 EDT 2017, systemMessageType=Normal]
NTASData [id=16595076486, subwayLine=BD, stationId=ISL2, trainId=208, trainMessage=Arriving, trainDirection=West, timeInt=6.248416168421053, timeString=06.25, trainDestination=KIP2, createDate=Sun Sep 17 12:47:03 EDT 2017, systemMessageType=Normal]
NTASData [id=16595076487, subwayLine=BD, stationId=ISL2, trainId=209, trainMessage=Arriving, trainDirection=West, timeInt=11.717297728792571, timeString=11.72, trainDestination=KIP2, createDate=Sun Sep 17 12:47:03 EDT 2017, systemMessageType=Normal]
