NTASData [id=16594930292, subwayLine=YUS, stationId=EGW1, trainId=128, trainMessage=Delayed, trainDirection=North, timeInt=3.6659155555555554, timeString=03.67, trainDestination=FIN1, createDate=Sun Sep 17 12:35:12 EDT 2017, systemMessageType=Normal]
NTASData [id=16594930293, subwayLine=YUS, stationId=EGW1, trainId=129, trainMessage=Delayed, trainDirection=North, timeInt=4.194174814814815, timeString=04.19, trainDestination=FIN1, createDate=Sun Sep 17 12:35:12 EDT 2017, systemMessageType=Normal]
NTASData [id=16594930294, subwayLine=YUS, stationId=SCW1, trainId=120, trainMessage=Delayed, trainDirection=North, timeInt=0.7879259259259259, timeString=00.79, trainDestination=FIN1, createDate=Sun Sep 17 12:35:12 EDT 2017, systemMessageType=Normal]
NTASData [id=16594930295, subwayLine=YUS, stationId=SCW1, trainId=195, trainMessage=Delayed, trainDirection=North, timeInt=7.878128888888888, timeString=07.88, trainDestination=FIN1, createDate=Sun Sep 17 12:35:12 EDT 2017, systemMessageType=Normal]
NTASData [id=16594930296, subwayLine=YUS, stationId=SCW1, trainId=128, trainMessage=Delayed, trainDirection=North, timeInt=8.36535111111111, timeString=08.37, trainDestination=FIN1, createDate=Sun Sep 17 12:35:12 EDT 2017, systemMessageType=Normal]
NTASData [id=16594930297, subwayLine=YUS, stationId=DUP1, trainId=120, trainMessage=Delayed, trainDirection=North, timeInt=3.412463703703704, timeString=03.41, trainDestination=FIN1, createDate=Sun Sep 17 12:35:12 EDT 2017, systemMessageType=Normal]
NTASData [id=16594930298, subwayLine=YUS, stationId=DUP1, trainId=195, trainMessage=Delayed, trainDirection=North, timeInt=10.502666666666665, timeString=10.50, trainDestination=FIN1, createDate=Sun Sep 17 12:35:12 EDT 2017, systemMessageType=Normal]
NTASData [id=16594930299, subwayLine=YUS, stationId=DUP1, trainId=128, trainMessage=Delayed, trainDirection=North, timeInt=10.989888888888888, timeString=10.99, trainDestination=FIN1, createDate=Sun Sep 17 12:35:12 EDT 2017, systemMessageType=Normal]
NTASData [id=16594930300, subwayLine=YUS, stationId=SPA1, trainId=120, trainMessage=Delayed, trainDirection=North, timeInt=4.413094814814815, timeString=04.41, trainDestination=FIN1, createDate=Sun Sep 17 12:35:12 EDT 2017, systemMessageType=Normal]
NTASData [id=16594930301, subwayLine=YUS, stationId=SPA1, trainId=195, trainMessage=Delayed, trainDirection=North, timeInt=11.503297777777778, timeString=11.50, trainDestination=FIN1, createDate=Sun Sep 17 12:35:12 EDT 2017, systemMessageType=Normal]
NTASData [id=16594930302, subwayLine=YUS, stationId=SPA1, trainId=128, trainMessage=Delayed, trainDirection=North, timeInt=11.99052, timeString=11.99, trainDestination=FIN1, createDate=Sun Sep 17 12:35:12 EDT 2017, systemMessageType=Normal]
NTASData [id=16594930303, subwayLine=YUS, stationId=SGU1, trainId=126, trainMessage=AtStation, trainDirection=North, timeInt=0.0, timeString=00.00, trainDestination=FIN1, createDate=Sun Sep 17 12:35:12 EDT 2017, systemMessageType=Normal]
NTASData [id=16594930304, subwayLine=YUS, stationId=SGU1, trainId=120, trainMessage=Delayed, trainDirection=North, timeInt=5.5427014814814815, timeString=05.54, trainDestination=FIN1, createDate=Sun Sep 17 12:35:12 EDT 2017, systemMessageType=Normal]
NTASData [id=16594930305, subwayLine=YUS, stationId=SGU1, trainId=195, trainMessage=Delayed, trainDirection=North, timeInt=12.632904444444442, timeString=12.63, trainDestination=FIN1, createDate=Sun Sep 17 12:35:12 EDT 2017, systemMessageType=Normal]
NTASData [id=16594930306, subwayLine=YUS, stationId=MUS1, trainId=126, trainMessage=Arriving, trainDirection=North, timeInt=1.2019966666666666, timeString=01.20, trainDestination=FIN1, createDate=Sun Sep 17 12:35:12 EDT 2017, systemMessageType=Normal]
NTASData [id=16594930307, subwayLine=YUS, stationId=MUS1, trainId=120, trainMessage=Delayed, trainDirection=North, timeInt=6.744698148148149, timeString=06.74, trainDestination=FIN1, createDate=Sun Sep 17 12:35:12 EDT 2017, systemMessageType=Normal]
NTASData [id=16594930308, subwayLine=YUS, stationId=MUS1, trainId=195, trainMessage=Delayed, trainDirection=North, timeInt=13.83490111111111, timeString=13.83, trainDestination=FIN1, createDate=Sun Sep 17 12:35:12 EDT 2017, systemMessageType=Normal]
NTASData [id=16594930309, subwayLine=YUS, stationId=QPK1, trainId=125, trainMessage=AtStation, trainDirection=North, timeInt=0.0, timeString=00.00, trainDestination=FIN1, createDate=Sun Sep 17 12:35:12 EDT 2017, systemMessageType=Normal]
NTASData [id=16594930310, subwayLine=YUS, stationId=QPK1, trainId=126, trainMessage=Arriving, trainDirection=North, timeInt=2.46453, timeString=02.46, trainDestination=FIN1, createDate=Sun Sep 17 12:35:12 EDT 2017, systemMessageType=Normal]
