NTASData [id=16593188764, subwayLine=YUS, stationId=NYC1, trainId=128, trainMessage=Arriving, trainDirection=North, timeInt=2.5912355555555555, timeString=02.59, trainDestination=FIN1, createDate=Sun Sep 17 10:23:50 EDT 2017, systemMessageType=Normal]
NTASData [id=16593188765, subwayLine=YUS, stationId=NYC1, trainId=101, trainMessage=Arriving, trainDirection=North, timeInt=12.13912, timeString=12.14, trainDestination=FIN1, createDate=Sun Sep 17 10:23:50 EDT 2017, systemMessageType=Normal]
NTASData [id=16593188766, subwayLine=YUS, stationId=NYC1, trainId=102, trainMessage=Arriving, trainDirection=North, timeInt=20.26691111111111, timeString=20.27, trainDestination=FIN1, createDate=Sun Sep 17 10:23:50 EDT 2017, systemMessageType=Normal]
NTASData [id=16593188767, subwayLine=YUS, stationId=FIN1, trainId=128, trainMessage=Arriving, trainDirection=North, timeInt=5.198275555555555, timeString=05.20, trainDestination=FIN1, createDate=Sun Sep 17 10:23:50 EDT 2017, systemMessageType=Normal]
NTASData [id=16593188768, subwayLine=YUS, stationId=FIN1, trainId=101, trainMessage=Arriving, trainDirection=North, timeInt=14.74616, timeString=14.75, trainDestination=FIN1, createDate=Sun Sep 17 10:23:50 EDT 2017, systemMessageType=Normal]
NTASData [id=16593188769, subwayLine=YUS, stationId=FIN1, trainId=102, trainMessage=Arriving, trainDirection=North, timeInt=22.87395111111111, timeString=22.87, trainDestination=FIN1, createDate=Sun Sep 17 10:23:50 EDT 2017, systemMessageType=Normal]
NTASData [id=16593188770, subwayLine=YUS, stationId=FIN2, trainId=126, trainMessage=Delayed, trainDirection=South, timeInt=0.0, timeString=00.00, trainDestination=MUS2, createDate=Sun Sep 17 10:23:50 EDT 2017, systemMessageType=Normal]
NTASData [id=16593188771, subwayLine=YUS, stationId=FIN2, trainId=128, trainMessage=Arriving, trainDirection=North, timeInt=5.198275555555555, timeString=05.20, trainDestination=FIN1, createDate=Sun Sep 17 10:23:50 EDT 2017, systemMessageType=Normal]
NTASData [id=16593188772, subwayLine=YUS, stationId=FIN2, trainId=101, trainMessage=Arriving, trainDirection=North, timeInt=14.74616, timeString=14.75, trainDestination=FIN1, createDate=Sun Sep 17 10:23:50 EDT 2017, systemMessageType=Normal]
NTASData [id=16593188773, subwayLine=YUS, stationId=LAW2, trainId=125, trainMessage=Arriving, trainDirection=South, timeInt=1.9857155555555555, timeString=01.99, trainDestination=MUS2, createDate=Sun Sep 17 10:23:50 EDT 2017, systemMessageType=Normal]
